"EmployeeID","Stage","Score","ScoreDate"
"BLD-100057","Onboarding","8","2022-06-18"
"BLD-100057","Probation","8","2022-06-18"
"BLD-100058","Interview","10","2018-07-10"
"BLD-100058","Recruiting","9","2018-07-10"
"BLD-100058","Onboarding","8","2018-07-10"
"BLD-100058","Probation","8","2018-07-10"
"BLD-100059","Interview","10","2014-06-10"
"BLD-100059","Recruiting","9","2014-06-10"
"BLD-100059","Onboarding","8","2014-06-10"
"BLD-100059","Probation","8","2014-06-10"
"BLD-100060","Interview","10","2012-05-08"
"BLD-100060","Recruiting","9","2012-05-08"
"BLD-100060","Onboarding","8","2012-05-08"
"BLD-100060","Probation","8","2012-05-08"
"BLD-100061","Interview","10","2011-05-03"
"BLD-100061","Recruiting","9","2011-05-03"
"BLD-100061","Onboarding","8","2011-05-03"
"BLD-100061","Probation","8","2011-05-03"
"BLD-100062","Interview","10","2022-04-16"
"BLD-100062","Recruiting","9","2022-04-16"
"BLD-100062","Onboarding","8","2022-04-16"
"BLD-100062","Probation","8","2022-04-16"
"BLD-100063","Interview","10","2019-07-13"
"BLD-100063","Recruiting","9","2019-07-13"
"BLD-100063","Onboarding","8","2019-07-13"
"BLD-100063","Probation","8","2019-07-13"
"BLD-100064","Interview","10","2010-11-18"
"BLD-100064","Recruiting","9","2010-11-18"
"BLD-100064","Onboarding","8","2010-11-18"
"BLD-100064","Probation","8","2010-11-18"
"BLD-100065","Interview","10","2020-10-24"
"BLD-100065","Recruiting","9","2020-10-24"
"BLD-100065","Onboarding","8","2020-10-24"
"BLD-100065","Probation","8","2020-10-24"
"BLD-100066","Interview","10","2010-03-01"
"BLD-100066","Recruiting","9","2010-03-01"
"BLD-100066","Onboarding","8","2010-03-01"
"BLD-100066","Probation","8","2010-03-01"
"BLD-100067","Interview","10","2017-05-31"
"BLD-100067","Recruiting","9","2017-05-31"
"BLD-100067","Onboarding","8","2017-05-31"
"BLD-100067","Probation","8","2017-05-31"
"BLD-100068","Interview","10","2011-02-13"
"BLD-100068","Recruiting","9","2011-02-13"
"BLD-100068","Onboarding","8","2011-02-13"
"BLD-100068","Probation","8","2011-02-13"
"BLD-100069","Interview","10","2010-04-26"
"BLD-100069","Recruiting","9","2010-04-26"
"BLD-100069","Onboarding","8","2010-04-26"
"BLD-100069","Probation","8","2010-04-26"
"BLD-100070","Interview","10","2017-08-15"
"BLD-100070","Recruiting","9","2017-08-15"
"BLD-100070","Onboarding","8","2017-08-15"
"BLD-100070","Probation","8","2017-08-15"
"BLD-100071","Interview","10","2019-12-20"
"BLD-100071","Recruiting","9","2019-12-20"
"BLD-100071","Onboarding","8","2019-12-20"
"BLD-100071","Probation","8","2019-12-20"
"BLD-100072","Interview","10","2017-08-23"
"BLD-100072","Recruiting","9","2017-08-23"
"BLD-100072","Onboarding","8","2017-08-23"
"BLD-100072","Probation","8","2017-08-23"
"BLD-100073","Interview","10","2014-01-04"
"BLD-100073","Recruiting","9","2014-01-04"
"BLD-100073","Onboarding","8","2014-01-04"
"BLD-100073","Probation","8","2014-01-04"
"BLD-100074","Interview","10","2011-03-18"
"BLD-100074","Recruiting","9","2011-03-18"
"BLD-100074","Onboarding","8","2011-03-18"
"BLD-100074","Probation","8","2011-03-18"
"BLD-100075","Interview","10","2017-03-12"
"BLD-100075","Recruiting","9","2017-03-12"
"BLD-100075","Onboarding","8","2017-03-12"
"BLD-100075","Probation","8","2017-03-12"
"BLD-100076","Interview","10","2020-03-10"
"BLD-100076","Recruiting","9","2020-03-10"
"BLD-100076","Onboarding","8","2020-03-10"
"BLD-100076","Probation","8","2020-03-10"
"BLD-100077","Interview","10","2017-09-30"
"BLD-100077","Recruiting","9","2017-09-30"
"BLD-100077","Onboarding","8","2017-09-30"
"BLD-100077","Probation","8","2017-09-30"
"BLD-100078","Interview","10","2014-11-12"
"BLD-100078","Recruiting","9","2014-11-12"
"BLD-100078","Onboarding","8","2014-11-12"
"BLD-100078","Probation","8","2014-11-12"
"BLD-100079","Interview","10","2014-07-09"
"BLD-100079","Recruiting","9","2014-07-09"
"BLD-100079","Onboarding","8","2014-07-09"
"BLD-100079","Probation","8","2014-07-09"
"BLD-100080","Interview","10","2021-10-06"
"BLD-100080","Recruiting","9","2021-10-06"
"BLD-100080","Onboarding","8","2021-10-06"
"BLD-100080","Probation","8","2021-10-06"
"BLD-100081","Interview","10","2021-03-15"
"BLD-100081","Recruiting","9","2021-03-15"
"BLD-100081","Onboarding","8","2021-03-15"
"BLD-100081","Probation","8","2021-03-15"
"BLD-100082","Interview","10","2019-01-24"
"BLD-100082","Recruiting","9","2019-01-24"
"BLD-100082","Onboarding","8","2019-01-24"
"BLD-100082","Probation","8","2019-01-24"
"BLD-100083","Interview","10","2010-11-13"
"BLD-100083","Recruiting","9","2010-11-13"
"BLD-100083","Onboarding","8","2010-11-13"
"BLD-100083","Probation","8","2010-11-13"
"BLD-100084","Interview","10","2012-10-22"
"BLD-100084","Recruiting","9","2012-10-22"
"BLD-100084","Onboarding","8","2012-10-22"
"BLD-100084","Probation","8","2012-10-22"
"BLD-100085","Interview","10","2015-08-02"
"BLD-100085","Recruiting","9","2015-08-02"
"BLD-100085","Onboarding","8","2015-08-02"
"BLD-100085","Probation","8","2015-08-02"
"BLD-100086","Interview","10","2019-09-09"
"BLD-100086","Recruiting","9","2019-09-09"
"BLD-100086","Onboarding","8","2019-09-09"
"BLD-100086","Probation","8","2019-09-09"
"BLD-100087","Interview","10","2017-06-07"
"BLD-100087","Recruiting","9","2017-06-07"
"BLD-100087","Onboarding","8","2017-06-07"
"BLD-100087","Probation","8","2017-06-07"
"BLD-100088","Interview","10","2015-05-08"
"BLD-100088","Recruiting","9","2015-05-08"
"BLD-100088","Onboarding","8","2015-05-08"
"BLD-100088","Probation","8","2015-05-08"
"BLD-100089","Interview","10","2017-04-15"
"BLD-100089","Recruiting","9","2017-04-15"
"BLD-100089","Onboarding","8","2017-04-15"
"BLD-100089","Probation","8","2017-04-15"
"BLD-100090","Interview","10","2013-07-21"
"BLD-100090","Recruiting","9","2013-07-21"
"BLD-100090","Onboarding","8","2013-07-21"
"BLD-100090","Probation","8","2013-07-21"
"BLD-100091","Interview","10","2010-04-27"
"BLD-100091","Recruiting","9","2010-04-27"
"BLD-100091","Onboarding","8","2010-04-27"
"BLD-100091","Probation","8","2010-04-27"
"BLD-100092","Interview","10","2013-07-13"
"BLD-100092","Recruiting","9","2013-07-13"
"BLD-100092","Onboarding","8","2013-07-13"
"BLD-100092","Probation","8","2013-07-13"
"BLD-100093","Interview","10","2020-04-08"
"BLD-100093","Recruiting","9","2020-04-08"
"BLD-100093","Onboarding","8","2020-04-08"
"BLD-100093","Probation","8","2020-04-08"
"BLD-100094","Interview","10","2018-08-10"
"BLD-100094","Recruiting","9","2018-08-10"
"BLD-100094","Onboarding","8","2018-08-10"
"BLD-100094","Probation","8","2018-08-10"
"BLD-100095","Interview","10","2016-04-12"
"BLD-100095","Recruiting","9","2016-04-12"
"BLD-100095","Onboarding","8","2016-04-12"
"BLD-100095","Probation","8","2016-04-12"
"BLD-100096","Interview","10","2012-07-18"
"BLD-100096","Recruiting","9","2012-07-18"
"BLD-100096","Onboarding","8","2012-07-18"
"BLD-100096","Probation","8","2012-07-18"
"BLD-100097","Interview","10","2013-05-15"
"BLD-100097","Recruiting","9","2013-05-15"
"BLD-100097","Onboarding","8","2013-05-15"
"BLD-100097","Probation","8","2013-05-15"
"BLD-100098","Interview","10","2020-05-06"
"BLD-100098","Recruiting","9","2020-05-06"
"BLD-100098","Onboarding","8","2020-05-06"
"BLD-100098","Probation","8","2020-05-06"
"BLD-100099","Interview","10","2013-03-23"
"BLD-100099","Recruiting","9","2013-03-23"
"BLD-100099","Onboarding","8","2013-03-23"
"BLD-100099","Probation","8","2013-03-23"
"BLD-100100","Interview","10","2011-04-11"
"BLD-100100","Recruiting","9","2011-04-11"
"BLD-100100","Onboarding","8","2011-04-11"
"BLD-100100","Probation","8","2011-04-11"
"BLD-100101","Interview","10","2017-07-25"
"BLD-100101","Recruiting","9","2017-07-25"
"BLD-100101","Onboarding","8","2017-07-25"
"BLD-100101","Probation","8","2017-07-25"
"BLD-100102","Interview","10","2017-04-02"
"BLD-100102","Recruiting","9","2017-04-02"
"BLD-100102","Onboarding","8","2017-04-02"
"BLD-100102","Probation","8","2017-04-02"
"BLD-100103","Interview","10","2020-12-21"
"BLD-100103","Recruiting","9","2020-12-21"
"BLD-100103","Onboarding","8","2020-12-21"
"BLD-100103","Probation","8","2020-12-21"
"BLD-100104","Interview","10","2011-07-03"
"BLD-100104","Recruiting","9","2011-07-03"
"BLD-100104","Onboarding","8","2011-07-03"
"BLD-100104","Probation","8","2011-07-03"
"BLD-100105","Interview","10","2010-03-25"
"BLD-100105","Recruiting","9","2010-03-25"
"BLD-100105","Onboarding","8","2010-03-25"
"BLD-100105","Probation","8","2010-03-25"
"BLD-100106","Interview","10","2014-08-24"
"BLD-100106","Recruiting","9","2014-08-24"
"BLD-100106","Onboarding","8","2014-08-24"
"BLD-100106","Probation","8","2014-08-24"
"BLD-100107","Interview","10","2011-12-11"
"BLD-100107","Recruiting","9","2011-12-11"
"BLD-100107","Onboarding","8","2011-12-11"
"BLD-100107","Probation","8","2011-12-11"
"BLD-100108","Interview","10","2020-09-13"
"BLD-100108","Recruiting","9","2020-09-13"
"BLD-100108","Onboarding","8","2020-09-13"
"BLD-100108","Probation","8","2020-09-13"
"BLD-100109","Interview","10","2013-07-22"
"BLD-100109","Recruiting","9","2013-07-22"
"BLD-100109","Onboarding","8","2013-07-22"
"BLD-100109","Probation","8","2013-07-22"
"BLD-100110","Interview","10","2019-07-30"
"BLD-100110","Recruiting","9","2019-07-30"
"BLD-100110","Onboarding","8","2019-07-30"
"BLD-100110","Probation","8","2019-07-30"
"BLD-100111","Interview","10","2022-02-09"
"BLD-100111","Recruiting","9","2022-02-09"
"BLD-100111","Onboarding","8","2022-02-09"
"BLD-100111","Probation","8","2022-02-09"
"BLD-100112","Interview","10","2010-12-06"
"BLD-100112","Recruiting","9","2010-12-06"
"BLD-100112","Onboarding","8","2010-12-06"
"BLD-100112","Probation","8","2010-12-06"
"BLD-100113","Interview","10","2020-01-22"
"BLD-100113","Recruiting","9","2020-01-22"
"BLD-100113","Onboarding","8","2020-01-22"
"BLD-100113","Probation","8","2020-01-22"
"BLD-100114","Interview","10","2013-10-11"
"BLD-100114","Recruiting","9","2013-10-11"
"BLD-100114","Onboarding","8","2013-10-11"
"BLD-100114","Probation","8","2013-10-11"
"BLD-100115","Interview","10","2018-12-30"
"BLD-100115","Recruiting","9","2018-12-30"
"BLD-100115","Onboarding","8","2018-12-30"
"BLD-100115","Probation","8","2018-12-30"
"BLD-100116","Interview","10","2012-12-06"
"BLD-100116","Recruiting","9","2012-12-06"
"BLD-100116","Onboarding","8","2012-12-06"
"BLD-100116","Probation","8","2012-12-06"
"BLD-100117","Interview","10","2011-01-04"
"BLD-100117","Recruiting","9","2011-01-04"
"BLD-100117","Onboarding","8","2011-01-04"
"BLD-100117","Probation","8","2011-01-04"
"BLD-100118","Interview","10","2010-06-08"
"BLD-100118","Recruiting","9","2010-06-08"
"BLD-100118","Onboarding","8","2010-06-08"
"BLD-100118","Probation","8","2010-06-08"
"BLD-100119","Interview","10","2019-05-29"
"BLD-100119","Recruiting","9","2019-05-29"
"BLD-100119","Onboarding","8","2019-05-29"
"BLD-100119","Probation","8","2019-05-29"
"BLD-100120","Interview","10","2015-05-05"
"BLD-100120","Recruiting","9","2015-05-05"
"BLD-100120","Onboarding","8","2015-05-05"
"BLD-100120","Probation","8","2015-05-05"
"BLD-100121","Interview","10","2019-11-08"
"BLD-100121","Recruiting","9","2019-11-08"
"BLD-100121","Onboarding","8","2019-11-08"
"BLD-100121","Probation","8","2019-11-08"
"BLD-100122","Interview","10","2014-02-26"
"BLD-100122","Recruiting","9","2014-02-26"
"BLD-100122","Onboarding","8","2014-02-26"
"BLD-100122","Probation","8","2014-02-26"
"BLD-100123","Interview","10","2018-12-06"
"BLD-100123","Recruiting","9","2018-12-06"
"BLD-100123","Onboarding","8","2018-12-06"
"BLD-100123","Probation","8","2018-12-06"
"BLD-100124","Interview","10","2020-06-26"
"BLD-100124","Recruiting","9","2020-06-26"
"BLD-100124","Onboarding","8","2020-06-26"
"BLD-100124","Probation","8","2020-06-26"
"BLD-100125","Interview","10","2011-03-19"
"BLD-100125","Recruiting","9","2011-03-19"
"BLD-100125","Onboarding","8","2011-03-19"
"BLD-100125","Probation","8","2011-03-19"
"BLD-100126","Interview","10","2015-10-25"
"BLD-100126","Recruiting","9","2015-10-25"
"BLD-100126","Onboarding","8","2015-10-25"
"BLD-100126","Probation","8","2015-10-25"
"BLD-100127","Interview","10","2010-12-12"
"BLD-100127","Recruiting","9","2010-12-12"
"BLD-100127","Onboarding","8","2010-12-12"
"BLD-100127","Probation","8","2010-12-12"
"BLD-100128","Interview","10","2022-04-22"
"BLD-100128","Recruiting","9","2022-04-22"
"BLD-100128","Onboarding","8","2022-04-22"
"BLD-100128","Probation","8","2022-04-22"
"BLD-100129","Interview","10","2019-03-12"
"BLD-100129","Recruiting","9","2019-03-12"
"BLD-100129","Onboarding","8","2019-03-12"
"BLD-100129","Probation","8","2019-03-12"
"BLD-100130","Interview","10","2013-05-08"
"BLD-100130","Recruiting","9","2013-05-08"
"BLD-100130","Onboarding","8","2013-05-08"
"BLD-100130","Probation","8","2013-05-08"
"BLD-100131","Interview","10","2018-06-21"
"BLD-100131","Recruiting","9","2018-06-21"
"BLD-100131","Onboarding","8","2018-06-21"
"BLD-100131","Probation","8","2018-06-21"
"BLD-100132","Interview","10","2010-03-06"
"BLD-100132","Recruiting","9","2010-03-06"
"BLD-100132","Onboarding","8","2010-03-06"
"BLD-100132","Probation","8","2010-03-06"
"BLD-100133","Interview","10","2014-02-02"
"BLD-100133","Recruiting","9","2014-02-02"
"BLD-100133","Onboarding","8","2014-02-02"
"BLD-100133","Probation","8","2014-02-02"
"BLD-100134","Interview","10","2014-02-09"
"BLD-100134","Recruiting","9","2014-02-09"
"BLD-100134","Onboarding","8","2014-02-09"
"BLD-100134","Probation","8","2014-02-09"
"BLD-100135","Interview","10","2022-04-02"
"BLD-100135","Recruiting","9","2022-04-02"
"BLD-100135","Onboarding","8","2022-04-02"
"BLD-100135","Probation","8","2022-04-02"
"BLD-100136","Interview","10","2018-04-13"
"BLD-100136","Recruiting","9","2018-04-13"
"BLD-100136","Onboarding","8","2018-04-13"
"BLD-100136","Probation","8","2018-04-13"
"BLD-100137","Interview","10","2021-07-26"
"BLD-100137","Recruiting","9","2021-07-26"
"BLD-100137","Onboarding","8","2021-07-26"
"BLD-100137","Probation","8","2021-07-26"
"BLD-100138","Interview","10","2020-05-25"
"BLD-100138","Recruiting","9","2020-05-25"
"BLD-100138","Onboarding","8","2020-05-25"
"BLD-100138","Probation","8","2020-05-25"
"BLD-100139","Interview","10","2012-10-03"
"BLD-100139","Recruiting","9","2012-10-03"
"BLD-100139","Onboarding","8","2012-10-03"
"BLD-100139","Probation","8","2012-10-03"
"BLD-100140","Interview","10","2016-04-09"
"BLD-100140","Recruiting","9","2016-04-09"
"BLD-100140","Onboarding","8","2016-04-09"
"BLD-100140","Probation","8","2016-04-09"
"BLD-100141","Interview","10","2011-08-21"
"BLD-100141","Recruiting","9","2011-08-21"
"BLD-100141","Onboarding","8","2011-08-21"
"BLD-100141","Probation","8","2011-08-21"
"BLD-100142","Interview","10","2015-03-23"
"BLD-100142","Recruiting","9","2015-03-23"
"BLD-100142","Onboarding","8","2015-03-23"
"BLD-100142","Probation","8","2015-03-23"
"BLD-100143","Interview","10","2019-07-07"
"BLD-100143","Recruiting","9","2019-07-07"
"BLD-100143","Onboarding","8","2019-07-07"
"BLD-100143","Probation","8","2019-07-07"
"BLD-100144","Interview","10","2013-09-11"
"BLD-100144","Recruiting","9","2013-09-11"
"BLD-100144","Onboarding","8","2013-09-11"
"BLD-100144","Probation","8","2013-09-11"
"BLD-100145","Interview","10","2011-09-06"
"BLD-100145","Recruiting","9","2011-09-06"
"BLD-100145","Onboarding","8","2011-09-06"
"BLD-100145","Probation","8","2011-09-06"
"BLD-100146","Interview","10","2015-04-12"
"BLD-100146","Recruiting","9","2015-04-12"
"BLD-100146","Onboarding","8","2015-04-12"
"BLD-100146","Probation","8","2015-04-12"
"BLD-100147","Interview","10","2017-04-05"
"BLD-100147","Recruiting","9","2017-04-05"
"BLD-100147","Onboarding","8","2017-04-05"
"BLD-100147","Probation","8","2017-04-05"
"BLD-100148","Interview","10","2019-01-09"
"BLD-100148","Recruiting","9","2019-01-09"
"BLD-100148","Onboarding","8","2019-01-09"
"BLD-100148","Probation","8","2019-01-09"
"BLD-100149","Interview","10","2021-11-16"
"BLD-100149","Recruiting","9","2021-11-16"
"BLD-100149","Onboarding","8","2021-11-16"
"BLD-100149","Probation","8","2021-11-16"
"BLD-100150","Interview","10","2019-02-15"
"BLD-100150","Recruiting","9","2019-02-15"
"BLD-100150","Onboarding","8","2019-02-15"
"BLD-100150","Probation","8","2019-02-15"
"BLD-100151","Interview","10","2016-11-12"
"BLD-100151","Recruiting","9","2016-11-12"
"BLD-100151","Onboarding","8","2016-11-12"
"BLD-100151","Probation","8","2016-11-12"
"BLD-100152","Interview","10","2019-04-28"
"BLD-100152","Recruiting","9","2019-04-28"
"BLD-100152","Onboarding","8","2019-04-28"
"BLD-100152","Probation","8","2019-04-28"
"BLD-100153","Interview","10","2013-02-27"
"BLD-100153","Recruiting","9","2013-02-27"
