"employee_id","performance_cycle","goal_score","competency_score","overall_rating","rating_date","manager_rating","calibration_rating","promotion_recommendation"
"BLD-100016","2024 Annual","3.6","3.9","Exceptional","2024-12-22","Exceptional","Exceptional","No"
"BLD-100016","2025 Annual","3.6","2.9","Exceptional","2025-12-19","Exceptional","Exceptional","Yes"
"BLD-100017","2023 Annual","2.8","2.9","Meets Expectations","2023-12-20","Exceeds Expectations","Meets Expectations","No"
"BLD-100017","2024 Annual","2.3","2.8","Meets Expectations","2024-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100017","2025 Annual","3.7","3.1","Meets Expectations","2025-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100018","2023 Annual","2.6","2.7","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100018","2024 Annual","3.8","3","Exceeds Expectations","2024-12-27","Meets Expectations","Exceeds Expectations","No"
"BLD-100019","2023 Annual","4.2","3.6","Exceptional","2023-12-14","Exceptional","Exceptional","No"
"BLD-100019","2024 Annual","4.1","3.5","Exceeds Expectations","2024-12-10","Meets Expectations","Exceeds Expectations","Yes"
"BLD-100019","2025 Annual","3.4","3.2","Meets Expectations","2025-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100020","2023 Annual","2.5","2.5","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100020","2024 Annual","2.3","3.2","Meets Some Expectations","2024-12-25","Meets Expectations","Meets Some Expectations","No"
"BLD-100020","2025 Annual","3.3","2.8","Meets Expectations","2025-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100021","2023 Annual","2.6","2.2","Below Expectations","2023-12-12","Below Expectations","Below Expectations","No"
"BLD-100021","2024 Annual","2.5","2.3","Meets Some Expectations","2024-12-17","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100021","2025 Annual","3.9","2.9","Exceeds Expectations","2025-12-13","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100022","2023 Annual","3.8","3.7","Exceptional","2023-12-15","Exceptional","Exceptional","No"
"BLD-100022","2024 Annual","2.7","2.9","Meets Expectations","2024-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100023","2023 Annual","2.6","3","Meets Expectations","2023-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100023","2024 Annual","2.7","2.9","Meets Expectations","2024-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100023","2025 Annual","3.6","3.9","Exceeds Expectations","2025-12-16","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100025","2023 Annual","2.8","2.6","Meets Expectations","2023-12-20","Meets Expectations","Meets Expectations","No"
"BLD-100025","2024 Annual","2.9","4.3","Exceeds Expectations","2024-12-25","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100025","2025 Annual","2","2.5","Meets Some Expectations","2025-12-25","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100026","2023 Annual","3.1","3.3","Exceeds Expectations","2023-12-20","Meets Some Expectations","Exceeds Expectations","Yes"
"BLD-100026","2024 Annual","2.4","2.5","Meets Some Expectations","2024-12-12","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100027","2023 Annual","2.7","3","Meets Some Expectations","2023-12-25","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100027","2024 Annual","3","2.7","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100027","2025 Annual","4.1","3.8","Meets Expectations","2025-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100028","2023 Annual","1.6","2.7","Below Expectations","2023-12-17","Below Expectations","Below Expectations","No"
"BLD-100028","2024 Annual","3.3","4.2","Exceptional","2024-12-21","Exceptional","Exceptional","No"
"BLD-100028","2025 Annual","2.9","3","Meets Expectations","2025-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100029","2023 Annual","3.6","2","Meets Expectations","2023-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100029","2024 Annual","2.9","2.3","Meets Expectations","2024-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100030","2023 Annual","2.4","3.3","Meets Expectations","2023-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100030","2024 Annual","2.9","3.5","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100030","2025 Annual","3.2","3.7","Meets Expectations","2025-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100031","2023 Annual","3","2.7","Meets Expectations","2023-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100032","2023 Annual","3.3","2.9","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100032","2024 Annual","3.8","2.8","Exceeds Expectations","2024-12-11","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100032","2025 Annual","4.1","3.7","Exceeds Expectations","2025-12-11","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100033","2023 Annual","2.7","3.1","Meets Expectations","2023-12-14","Meets Expectations","Meets Expectations","No"
"BLD-100033","2024 Annual","2.1","3.1","Meets Expectations","2024-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100033","2025 Annual","2.2","2.8","Meets Expectations","2025-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100034","2023 Annual","3.1","2.7","Meets Some Expectations","2023-12-27","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100034","2024 Annual","3.4","3.1","Meets Expectations","2024-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100034","2025 Annual","2.7","2.9","Meets Expectations","2025-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100036","2023 Annual","3.6","3.7","Exceptional","2023-12-12","Exceptional","Exceptional","No"
"BLD-100036","2024 Annual","4.1","4.1","Exceptional","2024-12-10","Exceptional","Exceptional","No"
"BLD-100036","2025 Annual","4.2","4.7","Exceptional","2025-12-23","Exceptional","Exceptional","Yes"
"BLD-100037","2023 Annual","2.8","3","Meets Expectations","2023-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100037","2024 Annual","2.4","2.7","Meets Expectations","2024-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100038","2023 Annual","3.6","2.8","Exceeds Expectations","2023-12-24","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100038","2024 Annual","2.6","2.9","Meets Some Expectations","2024-12-25","Below Expectations","Meets Some Expectations","No"
"BLD-100038","2025 Annual","2.9","3.1","Meets Expectations","2025-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100039","2023 Annual","2.9","3","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100039","2024 Annual","2.5","2.4","Meets Expectations","2024-12-22","Meets Some Expectations","Meets Expectations","No"
"BLD-100039","2025 Annual","4.1","4.2","Exceptional","2025-12-25","Below Expectations","Exceptional","Yes"
"BLD-100040","2023 Annual","2.5","3.1","Meets Some Expectations","2023-12-11","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100040","2024 Annual","1.9","2.2","Meets Some Expectations","2024-12-26","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100040","2025 Annual","3.7","2.4","Meets Expectations","2025-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100041","2023 Annual","1.9","1.5","Below Expectations","2023-12-21","Below Expectations","Below Expectations","No"
"BLD-100041","2024 Annual","2.3","2.2","Meets Some Expectations","2024-12-20","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100041","2025 Annual","3.1","3.1","Meets Expectations","2025-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100042","2023 Annual","3.4","2.9","Meets Expectations","2023-12-18","Meets Some Expectations","Meets Expectations","No"
"BLD-100042","2024 Annual","3.8","3.8","Meets Expectations","2024-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100043","2023 Annual","3.4","2.7","Meets Expectations","2023-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100044","2023 Annual","2.7","2.4","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100044","2024 Annual","2.8","2.9","Meets Expectations","2024-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100045","2023 Annual","3.1","2.8","Meets Expectations","2023-12-14","Meets Expectations","Meets Expectations","No"
"BLD-100045","2024 Annual","3.2","2.9","Meets Expectations","2024-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100045","2025 Annual","4","3.1","Meets Expectations","2025-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100046","2023 Annual","3.7","3.4","Exceeds Expectations","2023-12-14","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100046","2024 Annual","3.8","3.8","Exceeds Expectations","2024-12-15","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100046","2025 Annual","2.9","3.4","Meets Expectations","2025-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100047","2023 Annual","2.9","3.9","Exceeds Expectations","2023-12-10","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100047","2024 Annual","1.3","2.4","Meets Some Expectations","2024-12-18","Exceeds Expectations","Meets Some Expectations","No"
"BLD-100051","2023 Annual","2.4","2.9","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100051","2024 Annual","2.3","2.3","Below Expectations","2024-12-23","Below Expectations","Below Expectations","No"
"BLD-100051","2025 Annual","4.2","3","Exceeds Expectations","2025-12-13","Exceptional","Exceeds Expectations","Yes"
"BLD-100052","2023 Annual","2.8","3.6","Meets Expectations","2023-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100052","2024 Annual","2.9","2.6","Meets Expectations","2024-12-18","Below Expectations","Meets Expectations","No"
"BLD-100052","2025 Annual","3.3","2.8","Meets Expectations","2025-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100054","2023 Annual","1.8","2.3","Meets Some Expectations","2023-12-19","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100054","2024 Annual","2.9","2.9","Meets Expectations","2024-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100054","2025 Annual","3.3","3.2","Meets Expectations","2025-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100055","2023 Annual","4.3","3.4","Exceeds Expectations","2023-12-17","Meets Expectations","Exceeds Expectations","No"
"BLD-100055","2024 Annual","2.8","2.6","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100055","2025 Annual","3.5","3.1","Exceeds Expectations","2025-12-14","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100056","2023 Annual","4.2","3.9","Exceptional","2023-12-10","Exceptional","Exceptional","Yes"
"BLD-100057","2023 Annual","2.6","3.1","Meets Expectations","2023-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100058","2023 Annual","3.6","2.4","Exceeds Expectations","2023-12-19","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100058","2024 Annual","3.3","2.1","Meets Some Expectations","2024-12-28","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100059","2023 Annual","3.5","3.9","Exceptional","2023-12-22","Exceptional","Exceptional","No"
"BLD-100059","2024 Annual","2.3","2.5","Meets Expectations","2024-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100059","2025 Annual","4.1","3.1","Exceptional","2025-12-19","Exceptional","Exceptional","No"
"BLD-100060","2023 Annual","2.2","2.3","Meets Some Expectations","2023-12-14","Exceeds Expectations","Meets Some Expectations","No"
"BLD-100060","2024 Annual","3.2","2.6","Meets Expectations","2024-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100061","2023 Annual","3.2","2.7","Meets Expectations","2023-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100061","2024 Annual","1.8","2.8","Below Expectations","2024-12-25","Below Expectations","Below Expectations","No"
"BLD-100061","2025 Annual","2.8","3.2","Meets Expectations","2025-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100062","2023 Annual","2.6","2","Meets Expectations","2023-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100063","2023 Annual","3.3","2.6","Exceeds Expectations","2023-12-20","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100063","2024 Annual","3.2","3.2","Meets Expectations","2024-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100063","2025 Annual","4.3","3.5","Exceeds Expectations","2025-12-12","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100066","2023 Annual","3.5","3.1","Exceptional","2023-12-20","Exceptional","Exceptional","No"
"BLD-100066","2024 Annual","2.9","3.7","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100066","2025 Annual","1.7","2.3","Below Expectations","2025-12-13","Below Expectations","Below Expectations","No"
"BLD-100068","2023 Annual","2.3","3","Meets Expectations","2023-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100068","2024 Annual","2.8","2.8","Exceeds Expectations","2024-12-15","Meets Expectations","Exceeds Expectations","No"
"BLD-100068","2025 Annual","3.1","2.7","Meets Expectations","2025-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100069","2023 Annual","3.5","2.8","Meets Some Expectations","2023-12-16","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100069","2024 Annual","3.8","3.7","Exceeds Expectations","2024-12-22","Meets Expectations","Exceeds Expectations","No"
"BLD-100069","2025 Annual","3.3","3.7","Exceeds Expectations","2025-12-27","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100070","2023 Annual","4.1","3.7","Exceptional","2023-12-24","Exceptional","Exceptional","No"
"BLD-100070","2024 Annual","1.1","1.8","Below Expectations","2024-12-11","Below Expectations","Below Expectations","No"
"BLD-100070","2025 Annual","3.4","2.9","Meets Expectations","2025-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100071","2023 Annual","2.1","2.2","Meets Some Expectations","2023-12-17","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100071","2024 Annual","3.3","3","Meets Expectations","2024-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100071","2025 Annual","1.9","1.7","Below Expectations","2025-12-26","Below Expectations","Below Expectations","No"
"BLD-100072","2023 Annual","2.9","2.6","Meets Expectations","2023-12-14","Meets Expectations","Meets Expectations","No"
"BLD-100072","2024 Annual","2.4","2.6","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100072","2025 Annual","3.3","2.5","Meets Expectations","2025-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100073","2023 Annual","2.7","2.5","Meets Some Expectations","2023-12-23","Below Expectations","Meets Some Expectations","No"
"BLD-100073","2024 Annual","3.3","2.4","Meets Expectations","2024-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100073","2025 Annual","2.6","2.3","Meets Expectations","2025-12-14","Meets Expectations","Meets Expectations","No"
"BLD-100074","2023 Annual","4.2","3.6","Exceeds Expectations","2023-12-15","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100075","2023 Annual","3.1","4.2","Exceeds Expectations","2023-12-14","Meets Expectations","Exceeds Expectations","No"
"BLD-100075","2024 Annual","3.3","3.2","Meets Expectations","2024-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100075","2025 Annual","3.3","3.1","Meets Expectations","2025-12-17","Meets Expectations","Meets Expectations","No"
"BLD-100076","2023 Annual","1.8","1.7","Below Expectations","2023-12-15","Below Expectations","Below Expectations","No"
"BLD-100076","2024 Annual","3.1","3.5","Meets Expectations","2024-12-24","Meets Expectations","Meets Expectations","No"
"BLD-100077","2023 Annual","2.1","2.8","Meets Some Expectations","2023-12-12","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100081","2023 Annual","2","2.9","Below Expectations","2023-12-28","Below Expectations","Below Expectations","No"
"BLD-100082","2023 Annual","2.6","2.6","Meets Some Expectations","2023-12-13","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100082","2024 Annual","2.7","2.5","Meets Expectations","2024-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100082","2025 Annual","2.3","3","Meets Expectations","2025-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100083","2023 Annual","3.5","3.1","Exceeds Expectations","2023-12-14","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100083","2024 Annual","3.5","3.4","Meets Expectations","2024-12-23","Meets Expectations","Meets Expectations","No"
"BLD-100083","2025 Annual","3.1","2.9","Meets Expectations","2025-12-28","Meets Expectations","Meets Expectations","No"
"BLD-100084","2023 Annual","2.8","2.7","Meets Expectations","2023-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100085","2023 Annual","2","2.4","Meets Some Expectations","2023-12-22","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100086","2023 Annual","3.6","2.9","Exceeds Expectations","2023-12-22","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100086","2024 Annual","3","3.5","Meets Expectations","2024-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100086","2025 Annual","4.1","2.9","Exceeds Expectations","2025-12-19","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100087","2023 Annual","3.7","2.9","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100087","2024 Annual","3","3.1","Meets Expectations","2024-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100087","2025 Annual","2.7","3.4","Meets Expectations","2025-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100088","2023 Annual","3","3.1","Meets Expectations","2023-12-16","Meets Expectations","Meets Expectations","No"
"BLD-100088","2024 Annual","2.2","3.3","Meets Expectations","2024-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100088","2025 Annual","2.5","2.6","Meets Some Expectations","2025-12-19","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100089","2023 Annual","2.8","2.8","Meets Expectations","2023-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100090","2023 Annual","1.6","2.5","Below Expectations","2023-12-22","Below Expectations","Below Expectations","No"
"BLD-100090","2024 Annual","2.5","2.5","Meets Some Expectations","2024-12-19","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100090","2025 Annual","3.6","3.8","Exceeds Expectations","2025-12-17","Exceptional","Exceeds Expectations","Yes"
"BLD-100091","2023 Annual","2.8","2","Meets Expectations","2023-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100091","2024 Annual","2.8","3","Meets Expectations","2024-12-12","Meets Expectations","Meets Expectations","No"
"BLD-100091","2025 Annual","2.7","3.2","Meets Expectations","2025-12-26","Meets Expectations","Meets Expectations","No"
"BLD-100092","2023 Annual","3","2.9","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100092","2024 Annual","2.4","2.1","Meets Some Expectations","2024-12-27","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100092","2025 Annual","3.2","3.6","Exceeds Expectations","2025-12-26","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100093","2023 Annual","4.1","3.6","Exceeds Expectations","2023-12-23","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100093","2024 Annual","2.2","2.6","Meets Some Expectations","2024-12-16","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100093","2025 Annual","2.9","3.2","Meets Expectations","2025-12-19","Meets Expectations","Meets Expectations","No"
"BLD-100095","2023 Annual","2.5","2.8","Meets Some Expectations","2023-12-25","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100095","2024 Annual","2.7","2.1","Meets Some Expectations","2024-12-28","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100095","2025 Annual","2.3","2.3","Below Expectations","2025-12-27","Below Expectations","Below Expectations","No"
"BLD-100096","2023 Annual","3.1","2.9","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100096","2024 Annual","4.2","2.3","Exceptional","2024-12-25","Exceptional","Exceptional","Yes"
"BLD-100096","2025 Annual","2.7","3.5","Meets Expectations","2025-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100097","2023 Annual","3","3.2","Meets Expectations","2023-12-14","Meets Expectations","Meets Expectations","No"
"BLD-100097","2024 Annual","3","3","Meets Expectations","2024-12-27","Meets Expectations","Meets Expectations","No"
"BLD-100097","2025 Annual","2.9","2.6","Meets Some Expectations","2025-12-24","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100099","2023 Annual","3.2","2.6","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100100","2023 Annual","2.8","2.4","Meets Expectations","2023-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100100","2024 Annual","3.1","3.3","Meets Expectations","2024-12-28","Below Expectations","Meets Expectations","No"
"BLD-100101","2023 Annual","3.1","2.9","Meets Expectations","2023-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100101","2024 Annual","4.7","4.3","Exceptional","2024-12-15","Exceptional","Exceptional","No"
"BLD-100101","2025 Annual","3","3.1","Meets Expectations","2025-12-13","Meets Expectations","Meets Expectations","No"
"BLD-100102","2023 Annual","2.8","3.3","Meets Expectations","2023-12-22","Meets Expectations","Meets Expectations","No"
"BLD-100102","2024 Annual","2.8","2.5","Meets Some Expectations","2024-12-15","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100102","2025 Annual","3.6","2.8","Meets Expectations","2025-12-10","Meets Expectations","Meets Expectations","No"
"BLD-100103","2023 Annual","3","2.9","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100103","2024 Annual","3.1","3.2","Meets Expectations","2024-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100104","2023 Annual","2.9","2.1","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100104","2024 Annual","3.5","3.1","Meets Expectations","2024-12-21","Meets Expectations","Meets Expectations","No"
"BLD-100104","2025 Annual","1.8","2.2","Below Expectations","2025-12-16","Below Expectations","Below Expectations","No"
"BLD-100105","2023 Annual","4.3","3.4","Exceptional","2023-12-18","Exceptional","Exceptional","No"
"BLD-100105","2024 Annual","2.7","2.7","Meets Expectations","2024-12-16","Exceptional","Meets Expectations","No"
"BLD-100105","2025 Annual","3.5","3.7","Exceptional","2025-12-26","Exceptional","Exceptional","No"
"BLD-100106","2023 Annual","3.6","3.1","Meets Expectations","2023-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100107","2023 Annual","2.9","3.6","Meets Expectations","2023-12-14","Exceeds Expectations","Meets Expectations","No"
"BLD-100107","2024 Annual","2.5","2.2","Meets Some Expectations","2024-12-12","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100107","2025 Annual","2.4","2.2","Meets Some Expectations","2025-12-25","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100108","2023 Annual","3.6","3.9","Exceptional","2023-12-26","Exceptional","Exceptional","No"
"BLD-100108","2024 Annual","4.1","3.7","Exceptional","2024-12-27","Exceptional","Exceptional","Yes"
"BLD-100108","2025 Annual","3.3","2.8","Exceeds Expectations","2025-12-19","Meets Expectations","Exceeds Expectations","No"
"BLD-100109","2023 Annual","3.3","3.1","Meets Expectations","2023-12-20","Exceptional","Meets Expectations","No"
"BLD-100109","2024 Annual","3.6","3.2","Meets Expectations","2024-12-15","Meets Expectations","Meets Expectations","No"
"BLD-100109","2025 Annual","3.2","3.2","Meets Expectations","2025-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100110","2023 Annual","3","3.1","Exceeds Expectations","2023-12-14","Exceeds Expectations","Exceeds Expectations","Yes"
"BLD-100111","2023 Annual","3","3.3","Exceeds Expectations","2023-12-24","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100111","2024 Annual","2.4","2.7","Meets Some Expectations","2024-12-19","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100111","2025 Annual","1.7","2.1","Below Expectations","2025-12-11","Below Expectations","Below Expectations","No"
"BLD-100112","2023 Annual","3.7","3","Meets Expectations","2023-12-11","Meets Expectations","Meets Expectations","No"
"BLD-100112","2024 Annual","3.4","3.1","Exceeds Expectations","2024-12-26","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100112","2025 Annual","3.5","3.4","Exceeds Expectations","2025-12-23","Exceeds Expectations","Exceeds Expectations","No"
"BLD-100113","2023 Annual","2.2","2.8","Meets Expectations","2023-12-18","Meets Expectations","Meets Expectations","No"
"BLD-100113","2024 Annual","2.7","2.4","Meets Some Expectations","2024-12-10","Meets Some Expectations","Meets Some Expectations","No"
"BLD-100113","2025 Annual","3.4","3.1","Meets Expectations","2025-12-25","Meets Expectations","Meets Expectations","No"
"BLD-100114","2023 Annual","3","3","Meets Expectations","2023-12-18","Exceeds Expectations","Meets Expectations","No"
