"employee_id","course_name","training_category","training_hours","training_cost","completion_status","completion_date","certification_achieved"
"BLD-100009","Conflict Resolution","Soft Skills","8","630","Completed","2025-04-18","No"
"BLD-100009","Presentation Skills","Soft Skills","4","1000","Completed","2025-10-12","No"
"BLD-100009","Strategic Leadership Workshop","Leadership","8","1080","Completed","2023-10-22","No"
"BLD-100009","Qatar Labor Law Essentials","Compliance","8","0","Completed","2025-08-24","No"
"BLD-100009","Food Safety & HACCP Refresher","Mandatory","8","0","Completed","2025-10-09","No"
"BLD-100009","Effective Communication","Soft Skills","2","730","Completed","2024-05-14","No"
"BLD-100010","Food Safety & HACCP Refresher","Mandatory","2","0","Completed","2024-03-18","No"
"BLD-100011","Cold Chain Logistics","Technical","8","1890","Completed","2023-05-01","Yes"
"BLD-100012","Effective Communication","Soft Skills","2","2050","Completed","2025-07-06","No"
"BLD-100012","Conflict Resolution","Soft Skills","16","1790","Completed","2024-11-19","No"
"BLD-100012","DOA & Governance Training","Compliance","2","0","Completed","2023-12-21","No"
"BLD-100012","Quality Control Techniques","Technical","4","1460","Completed","2023-03-09","Yes"
"BLD-100012","Dairy Processing Fundamentals","Technical","2","900","Completed","2025-03-18","Yes"
"BLD-100012","Egyptian Labor Law Essentials","Compliance","2","0","Not Started",,"No"
"BLD-100013","DOA & Governance Training","Compliance","2","0","Completed","2025-05-10","Yes"
"BLD-100013","DOA & Governance Training","Compliance","16","0","Completed","2023-03-26","No"
"BLD-100013","Time Management","Soft Skills","8","1780","Not Started",,"No"
"BLD-100013","Anti-Bribery & Ethics","Mandatory","4","0","Completed","2024-06-04","No"
"BLD-100013","Data Privacy Awareness","Mandatory","4","0","Completed","2024-04-20","No"
"BLD-100013","Quality Control Techniques","Technical","8","1790","Completed","2023-08-24","No"
"BLD-100013","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2024-05-03","No"
"BLD-100013","Cold Chain Logistics","Technical","8","1530","Completed","2025-01-08","No"
"BLD-100013","Fire & Emergency Response","Mandatory","4","0","Completed","2023-11-10","No"
"BLD-100013","Food Safety & HACCP Refresher","Mandatory","16","0","Completed","2025-01-07","No"
"BLD-100013","Qatar Labor Law Essentials","Compliance","4","0","In Progress",,"No"
"BLD-100014","Conflict Resolution","Soft Skills","2","1360","Completed","2023-11-02","No"
"BLD-100014","Food Safety & HACCP Refresher","Mandatory","8","0","Completed","2023-08-06","No"
"BLD-100014","SAP for HR Users","Technical","2","2030","Completed","2023-07-31","Yes"
"BLD-100014","Effective Communication","Soft Skills","2","1870","Completed","2024-02-26","No"
"BLD-100014","Effective Communication","Soft Skills","8","340","In Progress",,"No"
"BLD-100014","Data Privacy Awareness","Mandatory","2","0","Completed","2024-02-14","No"
"BLD-100015","Data Privacy Awareness","Mandatory","4","0","Completed","2025-11-21","No"
"BLD-100015","Effective Communication","Soft Skills","2","1790","In Progress",,"No"
"BLD-100015","DOA & Governance Training","Compliance","8","0","Completed","2025-02-04","Yes"
"BLD-100015","Data Privacy Awareness","Mandatory","8","0","Completed","2024-07-06","No"
"BLD-100016","First-Time Manager Program","Leadership","8","1600","Completed","2023-02-16","No"
"BLD-100016","Data Privacy Awareness","Mandatory","16","0","Completed","2023-07-21","No"
"BLD-100016","Qatar Labor Law Essentials","Compliance","4","0","Completed","2024-11-28","No"
"BLD-100016","Quality Control Techniques","Technical","8","1480","Not Started",,"No"
"BLD-100016","Anti-Bribery & Ethics","Mandatory","4","0","Completed","2025-09-28","No"
"BLD-100016","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2023-04-13","No"
"BLD-100016","SAP for HR Users","Technical","4","1450","Completed","2023-06-18","Yes"
"BLD-100016","Strategic Leadership Workshop","Leadership","2","220","Completed","2024-06-07","No"
"BLD-100017","Quality Control Techniques","Technical","8","1970","In Progress",,"No"
"BLD-100017","Cold Chain Logistics","Technical","8","790","In Progress",,"No"
"BLD-100017","Quality Control Techniques","Technical","2","300","In Progress",,"No"
"BLD-100017","Food Safety & HACCP Refresher","Mandatory","2","0","Completed","2023-11-04","No"
"BLD-100017","Dairy Processing Fundamentals","Technical","2","1850","In Progress",,"No"
"BLD-100017","Cold Chain Logistics","Technical","2","1380","Completed","2024-07-11","No"
"BLD-100017","Time Management","Soft Skills","8","790","Completed","2023-06-07","No"
"BLD-100017","Cold Chain Logistics","Technical","4","170","Completed","2025-04-09","Yes"
"BLD-100017","Anti-Bribery & Ethics","Mandatory","8","0","Not Started",,"No"
"BLD-100017","First-Time Manager Program","Leadership","16","440","Completed","2025-07-08","No"
"BLD-100017","SAP for HR Users","Technical","8","1040","Completed","2023-03-29","Yes"
"BLD-100018","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2024-02-19","No"
"BLD-100018","Health & Safety Induction","Mandatory","8","0","Completed","2023-07-25","No"
"BLD-100018","Strategic Leadership Workshop","Leadership","8","270","Completed","2024-07-20","No"
"BLD-100019","Advanced Excel for Reporting","Technical","4","510","Completed","2025-10-02","Yes"
"BLD-100019","Data Privacy Awareness","Mandatory","4","0","Completed","2025-10-13","No"
"BLD-100019","Strategic Leadership Workshop","Leadership","2","1590","Completed","2023-01-09","No"
"BLD-100019","Conflict Resolution","Soft Skills","4","1710","In Progress",,"No"
"BLD-100019","DOA & Governance Training","Compliance","16","0","Completed","2024-05-19","Yes"
"BLD-100019","DOA & Governance Training","Compliance","4","0","Completed","2025-11-19","No"
"BLD-100019","Presentation Skills","Soft Skills","2","1650","Completed","2024-11-29","No"
"BLD-100019","Health & Safety Induction","Mandatory","2","0","Completed","2025-11-21","No"
"BLD-100019","Time Management","Soft Skills","4","2150","Completed","2023-03-23","No"
"BLD-100019","Data Privacy Awareness","Mandatory","4","0","Completed","2023-10-19","No"
"BLD-100019","Conflict Resolution","Soft Skills","2","910","Completed","2024-02-09","No"
"BLD-100019","Qatar Labor Law Essentials","Compliance","8","0","Completed","2023-01-09","No"
"BLD-100019","Conflict Resolution","Soft Skills","2","630","Completed","2023-09-14","No"
"BLD-100020","Advanced Excel for Reporting","Technical","8","1530","Completed","2024-03-30","Yes"
"BLD-100020","Conflict Resolution","Soft Skills","2","1360","Completed","2023-05-06","No"
"BLD-100020","Time Management","Soft Skills","2","320","Completed","2024-05-08","No"
"BLD-100021","Cold Chain Logistics","Technical","2","560","Completed","2023-11-27","No"
"BLD-100021","Quality Control Techniques","Technical","4","2120","Completed","2024-07-05","Yes"
"BLD-100021","Presentation Skills","Soft Skills","2","820","In Progress",,"No"
"BLD-100021","Advanced Excel for Reporting","Technical","4","1490","Completed","2025-03-24","Yes"
"BLD-100021","Dairy Processing Fundamentals","Technical","8","730","Completed","2023-06-20","No"
"BLD-100021","DOA & Governance Training","Compliance","4","0","Not Started",,"No"
"BLD-100021","Qatar Labor Law Essentials","Compliance","8","0","In Progress",,"No"
"BLD-100021","Qatar Labor Law Essentials","Compliance","4","0","Completed","2023-07-22","No"
"BLD-100021","Conflict Resolution","Soft Skills","4","220","Not Started",,"No"
"BLD-100021","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2024-09-19","No"
"BLD-100021","Dairy Processing Fundamentals","Technical","4","790","Completed","2025-07-22","Yes"
"BLD-100021","Food Safety & HACCP Refresher","Mandatory","8","0","Completed","2025-12-06","No"
"BLD-100022","Health & Safety Induction","Mandatory","8","0","Completed","2023-03-15","No"
"BLD-100022","Quality Control Techniques","Technical","2","1030","Completed","2023-11-05","Yes"
"BLD-100023","Advanced Excel for Reporting","Technical","8","460","Completed","2023-12-16","No"
"BLD-100023","Food Safety & HACCP Refresher","Mandatory","2","0","Completed","2023-06-18","No"
"BLD-100023","First-Time Manager Program","Leadership","2","1320","Completed","2025-01-23","No"
"BLD-100023","Fire & Emergency Response","Mandatory","8","0","Completed","2024-05-16","No"
"BLD-100023","Qatar Labor Law Essentials","Compliance","8","0","Completed","2023-09-30","Yes"
"BLD-100023","Coaching for Performance","Leadership","16","890","Completed","2023-06-12","No"
"BLD-100023","Qatar Labor Law Essentials","Compliance","4","0","Completed","2024-07-18","Yes"
"BLD-100025","Anti-Bribery & Ethics","Mandatory","8","0","Completed","2023-11-27","No"
"BLD-100025","Cold Chain Logistics","Technical","8","1370","Completed","2025-04-30","No"
"BLD-100026","Food Safety & HACCP Refresher","Mandatory","16","0","Completed","2023-09-20","No"
"BLD-100026","Effective Communication","Soft Skills","8","1250","Completed","2023-05-04","No"
"BLD-100026","Health & Safety Induction","Mandatory","4","0","Completed","2023-08-21","No"
"BLD-100027","Strategic Leadership Workshop","Leadership","4","1540","Completed","2025-04-16","No"
"BLD-100027","DOA & Governance Training","Compliance","16","0","Completed","2025-10-09","Yes"
"BLD-100027","DOA & Governance Training","Compliance","4","0","Completed","2025-10-26","No"
"BLD-100027","Dairy Processing Fundamentals","Technical","8","460","Not Started",,"No"
"BLD-100027","Data Privacy Awareness","Mandatory","8","0","In Progress",,"No"
"BLD-100027","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2024-12-07","No"
"BLD-100028","Fire & Emergency Response","Mandatory","8","0","Completed","2023-08-19","No"
"BLD-100028","Advanced Excel for Reporting","Technical","8","1970","Completed","2024-11-17","No"
"BLD-100028","First-Time Manager Program","Leadership","4","1380","In Progress",,"No"
"BLD-100028","Dairy Processing Fundamentals","Technical","4","960","Completed","2023-08-04","Yes"
"BLD-100028","Qatar Labor Law Essentials","Compliance","16","0","Completed","2024-01-08","Yes"
"BLD-100028","DOA & Governance Training","Compliance","2","0","Completed","2025-08-23","Yes"
"BLD-100028","Dairy Processing Fundamentals","Technical","2","240","Completed","2024-05-28","No"
"BLD-100028","Coaching for Performance","Leadership","2","670","Completed","2024-06-27","No"
"BLD-100028","Qatar Labor Law Essentials","Compliance","16","0","Not Started",,"No"
"BLD-100028","Conflict Resolution","Soft Skills","16","300","Completed","2025-10-28","No"
"BLD-100029","Health & Safety Induction","Mandatory","2","0","In Progress",,"No"
"BLD-100029","Strategic Leadership Workshop","Leadership","2","910","Completed","2024-05-02","No"
"BLD-100029","Egyptian Labor Law Essentials","Compliance","2","0","Not Started",,"No"
"BLD-100029","Data Privacy Awareness","Mandatory","8","0","Completed","2023-09-13","No"
"BLD-100029","Time Management","Soft Skills","2","1000","Completed","2023-05-03","No"
"BLD-100030","SAP for HR Users","Technical","4","1250","Completed","2024-02-01","Yes"
"BLD-100030","Effective Communication","Soft Skills","4","2100","Completed","2024-02-13","No"
"BLD-100030","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2024-02-21","No"
"BLD-100030","Effective Communication","Soft Skills","2","1400","Completed","2025-11-30","No"
"BLD-100030","Quality Control Techniques","Technical","2","2180","Completed","2025-06-14","Yes"
"BLD-100030","Data Privacy Awareness","Mandatory","16","0","Completed","2024-09-04","No"
"BLD-100030","Dairy Processing Fundamentals","Technical","8","1430","Completed","2024-11-29","Yes"
"BLD-100030","Conflict Resolution","Soft Skills","4","1460","Completed","2024-08-28","No"
"BLD-100030","Fire & Emergency Response","Mandatory","2","0","Completed","2025-05-24","No"
"BLD-100030","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2023-06-17","No"
"BLD-100030","Advanced Excel for Reporting","Technical","8","1100","Completed","2024-12-22","Yes"
"BLD-100031","DOA & Governance Training","Compliance","8","0","Completed","2023-12-18","No"
"BLD-100031","Qatar Labor Law Essentials","Compliance","16","0","Completed","2023-09-25","Yes"
"BLD-100032","Data Privacy Awareness","Mandatory","2","0","Completed","2023-05-24","No"
"BLD-100032","Strategic Leadership Workshop","Leadership","2","820","Completed","2023-06-28","No"
"BLD-100032","Conflict Resolution","Soft Skills","2","1520","Completed","2025-08-12","No"
"BLD-100032","Health & Safety Induction","Mandatory","2","0","Completed","2025-09-29","No"
"BLD-100032","Fire & Emergency Response","Mandatory","4","0","Completed","2025-04-22","No"
"BLD-100032","Coaching for Performance","Leadership","2","1430","Completed","2025-02-25","No"
"BLD-100032","Advanced Excel for Reporting","Technical","8","200","Completed","2025-02-07","No"
"BLD-100032","Advanced Excel for Reporting","Technical","16","1900","Completed","2025-07-27","Yes"
"BLD-100032","Strategic Leadership Workshop","Leadership","2","650","In Progress",,"No"
"BLD-100032","Time Management","Soft Skills","16","1680","Completed","2025-07-13","No"
"BLD-100032","Qatar Labor Law Essentials","Compliance","4","0","Completed","2024-06-10","No"
"BLD-100032","Health & Safety Induction","Mandatory","4","0","Completed","2023-10-10","No"
"BLD-100033","Quality Control Techniques","Technical","8","430","Completed","2025-05-24","Yes"
"BLD-100033","Quality Control Techniques","Technical","2","470","Completed","2025-12-30","No"
"BLD-100033","Time Management","Soft Skills","2","430","Completed","2025-12-10","No"
"BLD-100033","Anti-Bribery & Ethics","Mandatory","8","0","Completed","2025-08-27","No"
"BLD-100034","Qatar Labor Law Essentials","Compliance","2","0","Completed","2025-12-06","Yes"
"BLD-100034","Health & Safety Induction","Mandatory","4","0","Completed","2025-01-06","No"
"BLD-100034","Conflict Resolution","Soft Skills","4","810","Completed","2025-06-19","No"
"BLD-100034","Effective Communication","Soft Skills","8","450","In Progress",,"No"
"BLD-100034","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2023-11-04","No"
"BLD-100034","Food Safety & HACCP Refresher","Mandatory","2","0","Completed","2025-07-21","No"
"BLD-100034","Data Privacy Awareness","Mandatory","8","0","In Progress",,"No"
"BLD-100034","Food Safety & HACCP Refresher","Mandatory","8","0","In Progress",,"No"
"BLD-100034","Dairy Processing Fundamentals","Technical","8","340","Completed","2024-08-20","Yes"
"BLD-100034","DOA & Governance Training","Compliance","4","0","Completed","2025-02-21","Yes"
"BLD-100035","Qatar Labor Law Essentials","Compliance","2","0","Completed","2023-03-25","Yes"
"BLD-100036","First-Time Manager Program","Leadership","2","1660","Completed","2025-03-28","No"
"BLD-100036","Presentation Skills","Soft Skills","8","200","Completed","2025-10-17","No"
"BLD-100036","Cold Chain Logistics","Technical","2","1010","Completed","2023-04-24","No"
"BLD-100036","Advanced Excel for Reporting","Technical","2","1220","Completed","2024-05-08","No"
"BLD-100036","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2024-10-17","No"
"BLD-100036","Coaching for Performance","Leadership","2","1980","Completed","2025-06-28","No"
"BLD-100036","Time Management","Soft Skills","2","590","Completed","2024-05-23","No"
"BLD-100036","Egyptian Labor Law Essentials","Compliance","2","0","Completed","2024-03-30","Yes"
"BLD-100036","Health & Safety Induction","Mandatory","2","0","In Progress",,"No"
"BLD-100036","SAP for HR Users","Technical","2","880","Completed","2024-01-31","No"
"BLD-100036","Fire & Emergency Response","Mandatory","16","0","Completed","2025-08-31","No"
"BLD-100037","Qatar Labor Law Essentials","Compliance","4","0","Not Started",,"No"
"BLD-100037","Fire & Emergency Response","Mandatory","4","0","Completed","2024-04-11","No"
"BLD-100037","Coaching for Performance","Leadership","8","500","Not Started",,"No"
"BLD-100037","Quality Control Techniques","Technical","16","930","Completed","2024-05-06","No"
"BLD-100038","Quality Control Techniques","Technical","4","2050","In Progress",,"No"
"BLD-100038","Quality Control Techniques","Technical","2","1070","Completed","2024-02-25","No"
"BLD-100038","Strategic Leadership Workshop","Leadership","2","860","Completed","2024-08-06","No"
"BLD-100038","Food Safety & HACCP Refresher","Mandatory","8","0","Completed","2025-08-04","No"
"BLD-100038","First-Time Manager Program","Leadership","8","680","In Progress",,"No"
"BLD-100038","Effective Communication","Soft Skills","8","260","Not Started",,"No"
"BLD-100039","DOA & Governance Training","Compliance","4","0","Completed","2024-01-03","No"
"BLD-100039","Cold Chain Logistics","Technical","4","160","Completed","2025-10-23","No"
"BLD-100039","SAP for HR Users","Technical","4","700","Completed","2024-04-21","Yes"
"BLD-100039","Cold Chain Logistics","Technical","16","2130","In Progress",,"No"
"BLD-100040","Dairy Processing Fundamentals","Technical","2","1780","In Progress",,"No"
"BLD-100040","Anti-Bribery & Ethics","Mandatory","2","0","In Progress",,"No"
"BLD-100040","Fire & Emergency Response","Mandatory","4","0","Completed","2024-07-24","No"
"BLD-100040","Data Privacy Awareness","Mandatory","4","0","Completed","2025-01-02","No"
"BLD-100040","Anti-Bribery & Ethics","Mandatory","4","0","Completed","2024-05-21","No"
"BLD-100040","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2023-07-26","No"
"BLD-100040","Effective Communication","Soft Skills","8","2150","Completed","2024-03-19","No"
"BLD-100040","Coaching for Performance","Leadership","4","1030","Completed","2025-08-13","No"
"BLD-100040","Health & Safety Induction","Mandatory","16","0","Not Started",,"No"
"BLD-100040","Anti-Bribery & Ethics","Mandatory","8","0","Completed","2024-07-26","No"
"BLD-100041","Conflict Resolution","Soft Skills","2","1250","In Progress",,"No"
"BLD-100041","Coaching for Performance","Leadership","4","280","Not Started",,"No"
"BLD-100041","SAP for HR Users","Technical","2","740","Not Started",,"No"
"BLD-100041","Data Privacy Awareness","Mandatory","8","0","In Progress",,"No"
"BLD-100042","Advanced Excel for Reporting","Technical","4","890","Completed","2023-03-17","Yes"
"BLD-100042","Qatar Labor Law Essentials","Compliance","4","0","In Progress",,"No"
"BLD-100042","First-Time Manager Program","Leadership","2","570","Not Started",,"No"
"BLD-100042","Food Safety & HACCP Refresher","Mandatory","4","0","In Progress",,"No"
"BLD-100042","Effective Communication","Soft Skills","2","460","Completed","2023-06-05","No"
"BLD-100042","Food Safety & HACCP Refresher","Mandatory","16","0","Completed","2024-01-10","No"
"BLD-100042","Coaching for Performance","Leadership","8","1420","In Progress",,"No"
"BLD-100042","Effective Communication","Soft Skills","2","340","Completed","2023-09-26","No"
"BLD-100042","Time Management","Soft Skills","4","1730","Completed","2023-10-06","No"
"BLD-100042","Dairy Processing Fundamentals","Technical","8","1530","Completed","2024-06-16","No"
"BLD-100043","SAP for HR Users","Technical","4","1190","Completed","2023-06-20","Yes"
"BLD-100043","Advanced Excel for Reporting","Technical","4","290","Completed","2023-05-28","No"
"BLD-100043","Health & Safety Induction","Mandatory","16","0","Completed","2023-10-31","No"
"BLD-100044","Coaching for Performance","Leadership","8","2120","Completed","2024-07-22","No"
"BLD-100044","Time Management","Soft Skills","4","1660","Completed","2024-05-20","No"
"BLD-100044","Egyptian Labor Law Essentials","Compliance","2","0","Completed","2023-12-21","No"
"BLD-100044","Presentation Skills","Soft Skills","2","380","Not Started",,"No"
"BLD-100044","Health & Safety Induction","Mandatory","2","0","Completed","2023-07-07","No"
"BLD-100044","Presentation Skills","Soft Skills","8","510","Completed","2024-12-22","No"
"BLD-100044","Advanced Excel for Reporting","Technical","2","780","Completed","2023-05-20","No"
"BLD-100044","Egyptian Labor Law Essentials","Compliance","4","0","Completed","2023-03-08","No"
"BLD-100044","Effective Communication","Soft Skills","8","640","Completed","2024-03-01","No"
"BLD-100045","Cold Chain Logistics","Technical","4","630","Completed","2023-11-29","No"
"BLD-100045","Cold Chain Logistics","Technical","8","2200","Completed","2024-12-05","No"
"BLD-100045","Presentation Skills","Soft Skills","4","320","Completed","2025-05-17","No"
"BLD-100045","Quality Control Techniques","Technical","4","1310","Completed","2024-06-25","No"
"BLD-100045","Data Privacy Awareness","Mandatory","8","0","In Progress",,"No"
"BLD-100045","Effective Communication","Soft Skills","8","1970","Completed","2023-05-21","No"
"BLD-100045","Anti-Bribery & Ethics","Mandatory","4","0","In Progress",,"No"
"BLD-100046","Conflict Resolution","Soft Skills","8","1550","Completed","2024-03-17","No"
"BLD-100046","Health & Safety Induction","Mandatory","2","0","In Progress",,"No"
"BLD-100046","Fire & Emergency Response","Mandatory","8","0","Completed","2024-04-05","No"
"BLD-100046","Health & Safety Induction","Mandatory","16","0","Completed","2023-01-06","No"
"BLD-100046","Quality Control Techniques","Technical","2","1740","Completed","2024-09-26","No"
"BLD-100047","Strategic Leadership Workshop","Leadership","16","230","Completed","2024-10-13","No"
"BLD-100048","Quality Control Techniques","Technical","8","910","Completed","2023-01-27","Yes"
"BLD-100049","Qatar Labor Law Essentials","Compliance","16","0","Completed","2023-04-29","No"
"BLD-100049","Anti-Bribery & Ethics","Mandatory","8","0","Completed","2023-06-25","No"
"BLD-100051","Food Safety & HACCP Refresher","Mandatory","2","0","Not Started",,"No"
"BLD-100051","Advanced Excel for Reporting","Technical","8","970","Completed","2023-09-04","Yes"
"BLD-100051","Strategic Leadership Workshop","Leadership","2","2030","In Progress",,"No"
"BLD-100051","Conflict Resolution","Soft Skills","2","250","In Progress",,"No"
"BLD-100051","Dairy Processing Fundamentals","Technical","8","410","Completed","2024-11-09","No"
"BLD-100051","DOA & Governance Training","Compliance","8","0","Completed","2024-04-28","No"
"BLD-100051","Effective Communication","Soft Skills","2","390","Completed","2025-04-01","No"
"BLD-100051","Cold Chain Logistics","Technical","4","960","Completed","2024-07-07","No"
"BLD-100052","Cold Chain Logistics","Technical","2","1760","Completed","2025-08-17","No"
"BLD-100052","Conflict Resolution","Soft Skills","8","840","Completed","2023-11-27","No"
"BLD-100052","Coaching for Performance","Leadership","2","600","Completed","2025-06-28","No"
"BLD-100052","Strategic Leadership Workshop","Leadership","2","860","In Progress",,"No"
"BLD-100052","Anti-Bribery & Ethics","Mandatory","4","0","Not Started",,"No"
"BLD-100052","Health & Safety Induction","Mandatory","2","0","In Progress",,"No"
"BLD-100052","DOA & Governance Training","Compliance","8","0","Completed","2024-08-23","No"
"BLD-100052","Anti-Bribery & Ethics","Mandatory","2","0","Completed","2024-01-09","No"
"BLD-100052","DOA & Governance Training","Compliance","4","0","Completed","2025-10-14","Yes"
"BLD-100052","Quality Control Techniques","Technical","4","560","In Progress",,"No"
"BLD-100052","Effective Communication","Soft Skills","4","440","Not Started",,"No"
"BLD-100052","Time Management","Soft Skills","16","830","Completed","2023-11-15","No"
"BLD-100052","Health & Safety Induction","Mandatory","2","0","Completed","2023-03-09","No"
"BLD-100052","Fire & Emergency Response","Mandatory","2","0","In Progress",,"No"
"BLD-100053","Time Management","Soft Skills","4","1610","Completed","2023-04-15","No"
"BLD-100053","Dairy Processing Fundamentals","Technical","2","1780","Completed","2023-03-18","Yes"
"BLD-100054","DOA & Governance Training","Compliance","2","0","Completed","2025-09-24","Yes"
"BLD-100054","First-Time Manager Program","Leadership","4","1430","Completed","2024-11-12","No"
"BLD-100054","DOA & Governance Training","Compliance","8","0","Completed","2025-01-09","Yes"
"BLD-100054","Quality Control Techniques","Technical","2","1050","Completed","2023-04-06","Yes"
"BLD-100054","Time Management","Soft Skills","8","1120","Completed","2024-08-21","No"
"BLD-100054","Coaching for Performance","Leadership","4","1230","Completed","2025-10-14","No"
"BLD-100054","Qatar Labor Law Essentials","Compliance","4","0","Completed","2023-03-20","No"
"BLD-100054","Quality Control Techniques","Technical","16","1070","Completed","2024-05-28","Yes"
"BLD-100055","SAP for HR Users","Technical","8","220","Completed","2025-04-23","Yes"
"BLD-100056","Qatar Labor Law Essentials","Compliance","16","0","Completed","2023-05-13","No"
"BLD-100056","Time Management","Soft Skills","2","740","Completed","2024-07-27","No"
"BLD-100056","Data Privacy Awareness","Mandatory","16","0","Not Started",,"No"
"BLD-100056","Quality Control Techniques","Technical","4","1910","In Progress",,"No"
"BLD-100056","Health & Safety Induction","Mandatory","8","0","Completed","2023-10-31","No"
"BLD-100057","Dairy Processing Fundamentals","Technical","4","1460","Completed","2023-10-02","No"
"BLD-100057","Quality Control Techniques","Technical","2","540","In Progress",,"No"
"BLD-100057","SAP for HR Users","Technical","2","1710","Completed","2023-03-28","Yes"
"BLD-100057","Food Safety & HACCP Refresher","Mandatory","8","0","Completed","2023-12-03","No"
"BLD-100057","Food Safety & HACCP Refresher","Mandatory","4","0","Completed","2023-01-11","No"
"BLD-100057","Fire & Emergency Response","Mandatory","4","0","Completed","2023-11-27","No"
"BLD-100058","Anti-Bribery & Ethics","Mandatory","16","0","Completed","2024-07-21","No"
"BLD-100058","Food Safety & HACCP Refresher","Mandatory","8","0","Completed","2023-06-13","No"
"BLD-100058","Presentation Skills","Soft Skills","4","770","Completed","2024-10-04","No"
"BLD-100059","SAP for HR Users","Technical","4","1400","Completed","2024-07-26","No"
"BLD-100059","Fire & Emergency Response","Mandatory","4","0","Completed","2025-01-31","No"
"BLD-100059","Health & Safety Induction","Mandatory","2","0","Completed","2023-06-27","No"
"BLD-100059","Anti-Bribery & Ethics","Mandatory","8","0","In Progress",,"No"
"BLD-100060","DOA & Governance Training","Compliance","16","0","Not Started",,"No"
