"employee_id","gender","nationality","ethnicity","age","age_band","disability_status","grade","management_level","leadership_status"
"BLD-100046","Male","Indian","Not Tracked","31","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100051","Male","Egyptian","Not Tracked","59","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100052","Male","Qatari","Not Tracked","43","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100054","Female","Indian","Not Tracked","41","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100055","Male","Nepali","Not Tracked","42","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100059","Female","Nepali","Not Tracked","62","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100061","Male","Indian","Not Tracked","42","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100066","Male","Jordanian","Not Tracked","47","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100068","Male","Indian","Not Tracked","59","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100069","Female","Nepali","Not Tracked","50","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100070","Female","Sudanese","Not Tracked","31","25-34","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100071","Male","Egyptian","Not Tracked","55","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100072","Male","Egyptian","Not Tracked","44","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100073","Male","Filipino","Not Tracked","65","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100075","Male","Egyptian","Not Tracked","58","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100082","Male","Egyptian","Not Tracked","60","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100083","Male","Egyptian","Not Tracked","54","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100086","Male","Egyptian","Not Tracked","30","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100087","Male","Indian","Not Tracked","28","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100088","Male","Indian","Not Tracked","47","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100090","Male","Egyptian","Not Tracked","42","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100091","Male","Egyptian","Not Tracked","66","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100093","Male","Egyptian","Not Tracked","46","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100095","Male","Filipino","Not Tracked","49","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100096","Male","Nepali","Not Tracked","43","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100097","Male","Indian","Not Tracked","58","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100101","Male","Indian","Not Tracked","57","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100102","Male","Indian","Not Tracked","54","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100104","Male","Sri Lankan","Not Tracked","39","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100105","Female","Indian","Not Tracked","38","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100107","Female","Nepali","Not Tracked","38","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100109","Male","Egyptian","Not Tracked","35","35-44","Not Disclosed","G13","Executive","Leadership"
"BLD-100111","Female","Sri Lankan","Not Tracked","41","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100112","Male","Pakistani","Not Tracked","37","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100113","Male","Sudanese","Not Tracked","53","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100118","Male","Pakistani","Not Tracked","43","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100119","Male","Filipino","Not Tracked","58","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100121","Male","Nepali","Not Tracked","35","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100122","Male","Bangladeshi","Not Tracked","42","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100125","Male","Egyptian","Not Tracked","48","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100126","Male","Egyptian","Not Tracked","50","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100127","Male","Indian","Not Tracked","46","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100128","Female","Egyptian","Not Tracked","32","25-34","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100130","Male","Egyptian","Not Tracked","58","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100137","Male","Sri Lankan","Not Tracked","27","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100138","Male","Egyptian","Not Tracked","38","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100140","Female","Indian","Not Tracked","38","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100141","Female","Indian","Not Tracked","45","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100142","Male","Pakistani","Not Tracked","44","35-44","Not Disclosed","G11","Managerial","Leadership"
"BLD-100143","Male","Egyptian","Not Tracked","44","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100144","Male","Filipino","Not Tracked","56","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100146","Female","Qatari","Not Tracked","63","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100148","Male","Egyptian","Not Tracked","31","25-34","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100149","Female","Indian","Not Tracked","54","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100150","Male","Sudanese","Not Tracked","36","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100152","Male","Egyptian","Not Tracked","36","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100154","Male","Sri Lankan","Not Tracked","37","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100157","Male","Egyptian","Not Tracked","57","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100158","Male","Sri Lankan","Not Tracked","55","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100159","Male","Qatari","Not Tracked","59","55+","Not Disclosed","G11","Managerial","Leadership"
"BLD-100161","Male","Pakistani","Not Tracked","53","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100163","Female","Filipino","Not Tracked","24","<25","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100166","Male","Sri Lankan","Not Tracked","37","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100168","Female","Nepali","Not Tracked","33","25-34","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100169","Male","Bangladeshi","Not Tracked","36","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100170","Male","Filipino","Not Tracked","28","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100171","Female","Nepali","Not Tracked","61","55+","Not Disclosed","G13","Executive","Leadership"
"BLD-100172","Male","Bangladeshi","Not Tracked","60","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100174","Male","Filipino","Not Tracked","40","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100177","Female","Filipino","Not Tracked","56","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100179","Male","Indian","Not Tracked","59","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100181","Female","Egyptian","Not Tracked","50","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100182","Male","Nepali","Not Tracked","55","55+","Not Disclosed","G11","Managerial","Leadership"
"BLD-100187","Female","Nepali","Not Tracked","63","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100191","Female","Bangladeshi","Not Tracked","33","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100193","Female","Egyptian","Not Tracked","50","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100196","Male","Sudanese","Not Tracked","39","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100197","Male","Jordanian","Not Tracked","55","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100202","Male","Indian","Not Tracked","32","25-34","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100205","Male","Nepali","Not Tracked","44","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100208","Male","Egyptian","Not Tracked","40","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100209","Female","Indian","Not Tracked","30","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100210","Male","Indian","Not Tracked","62","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100212","Male","Nepali","Not Tracked","33","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100213","Female","Nepali","Not Tracked","31","25-34","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100214","Female","Indian","Not Tracked","49","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100215","Male","Indian","Not Tracked","57","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100216","Female","Indian","Not Tracked","55","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100217","Female","Bangladeshi","Not Tracked","47","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100219","Male","Egyptian","Not Tracked","33","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100220","Male","Egyptian","Not Tracked","35","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100221","Male","Egyptian","Not Tracked","52","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100222","Male","Egyptian","Not Tracked","44","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100225","Male","Sri Lankan","Not Tracked","51","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100228","Male","Indian","Not Tracked","54","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100229","Male","Indian","Not Tracked","55","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100232","Male","Egyptian","Not Tracked","37","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100233","Female","Indian","Not Tracked","48","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100235","Female","Sri Lankan","Not Tracked","60","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100236","Male","Sudanese","Not Tracked","44","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100238","Female","Indian","Not Tracked","47","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100239","Female","Egyptian","Not Tracked","55","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100240","Male","Egyptian","Not Tracked","32","25-34","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100242","Male","Sri Lankan","Not Tracked","43","35-44","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100243","Male","Pakistani","Not Tracked","37","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100246","Female","Egyptian","Not Tracked","30","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100247","Male","Indian","Not Tracked","55","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100250","Male","Indian","Not Tracked","30","25-34","Not Disclosed","G10","Managerial","Leadership"
"BLD-100252","Male","Filipino","Not Tracked","32","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100253","Male","Indian","Not Tracked","50","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100256","Male","Egyptian","Not Tracked","48","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100257","Male","Sudanese","Not Tracked","61","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100258","Male","Nepali","Not Tracked","49","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100259","Male","Egyptian","Not Tracked","56","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100260","Male","Nepali","Not Tracked","29","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100261","Female","Filipino","Not Tracked","57","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100262","Male","Filipino","Not Tracked","59","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100264","Male","Qatari","Not Tracked","57","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100265","Male","Egyptian","Not Tracked","59","55+","Not Disclosed","G11","Managerial","Leadership"
"BLD-100268","Male","Egyptian","Not Tracked","46","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100269","Male","Egyptian","Not Tracked","33","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100270","Male","Indian","Not Tracked","50","45-54","Not Disclosed","G10","Managerial","Leadership"
"BLD-100271","Male","Egyptian","Not Tracked","39","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100272","Male","Egyptian","Not Tracked","53","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100275","Female","Egyptian","Not Tracked","33","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100276","Male","Pakistani","Not Tracked","58","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100278","Female","Bangladeshi","Not Tracked","61","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100281","Male","Nepali","Not Tracked","52","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100284","Male","Egyptian","Not Tracked","47","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100285","Male","Filipino","Not Tracked","61","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100290","Male","Bangladeshi","Not Tracked","53","45-54","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100291","Male","Egyptian","Not Tracked","36","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100293","Male","Bangladeshi","Not Tracked","58","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100295","Female","Egyptian","Not Tracked","37","35-44","Not Disclosed","G10","Managerial","Leadership"
"BLD-100297","Male","Egyptian","Not Tracked","52","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100298","Male","Sudanese","Not Tracked","34","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100301","Female","Egyptian","Not Tracked","32","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100303","Male","Pakistani","Not Tracked","56","55+","Not Disclosed","G14","Executive","Leadership"
"BLD-100304","Male","Nepali","Not Tracked","56","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100305","Male","Filipino","Not Tracked","60","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100308","Female","Filipino","Not Tracked","62","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100311","Male","Egyptian","Not Tracked","43","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100313","Female","Egyptian","Not Tracked","59","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100316","Female","Egyptian","Not Tracked","53","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100317","Female","Sri Lankan","Not Tracked","47","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100319","Male","Indian","Not Tracked","37","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100320","Male","Egyptian","Not Tracked","32","25-34","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100322","Male","Jordanian","Not Tracked","54","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100325","Female","Bangladeshi","Not Tracked","28","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100326","Female","Indian","Not Tracked","46","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100328","Male","Pakistani","Not Tracked","41","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100331","Male","Indian","Not Tracked","42","35-44","Not Disclosed","G11","Managerial","Leadership"
"BLD-100332","Male","Filipino","Not Tracked","54","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100333","Male","Pakistani","Not Tracked","60","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100335","Male","Bangladeshi","Not Tracked","47","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100338","Male","Egyptian","Not Tracked","61","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100339","Male","Egyptian","Not Tracked","59","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100340","Male","Sudanese","Not Tracked","41","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100341","Male","Indian","Not Tracked","44","35-44","Not Disclosed","G11","Managerial","Leadership"
"BLD-100343","Male","Egyptian","Not Tracked","23","<25","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100344","Female","Indian","Not Tracked","59","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100347","Male","Egyptian","Not Tracked","61","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100349","Male","Nepali","Not Tracked","36","35-44","Not Disclosed","G12","Managerial","Leadership"
"BLD-100351","Male","Sudanese","Not Tracked","45","45-54","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100353","Male","Pakistani","Not Tracked","58","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100355","Male","Nepali","Not Tracked","54","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100357","Female","Nepali","Not Tracked","39","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100358","Female","Indian","Not Tracked","59","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100359","Male","Bangladeshi","Not Tracked","52","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100361","Male","Egyptian","Not Tracked","54","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100362","Male","Egyptian","Not Tracked","38","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100363","Female","Egyptian","Not Tracked","49","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100369","Female","Egyptian","Not Tracked","32","25-34","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100370","Male","Egyptian","Not Tracked","54","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100373","Male","Egyptian","Not Tracked","31","25-34","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100375","Male","Bangladeshi","Not Tracked","38","35-44","Not Disclosed","G13","Executive","Leadership"
"BLD-100377","Male","Qatari","Not Tracked","40","35-44","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100380","Female","Sri Lankan","Not Tracked","57","55+","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100382","Male","Nepali","Not Tracked","57","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100383","Male","Egyptian","Not Tracked","58","55+","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100386","Male","Bangladeshi","Not Tracked","30","25-34","Not Disclosed","G12","Managerial","Leadership"
"BLD-100388","Male","Nepali","Not Tracked","57","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100390","Male","Pakistani","Not Tracked","34","25-34","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100391","Female","Filipino","Not Tracked","33","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100392","Male","Sri Lankan","Not Tracked","31","25-34","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100394","Male","Filipino","Not Tracked","64","55+","Not Disclosed","G10","Managerial","Leadership"
"BLD-100395","Male","Indian","Not Tracked","64","55+","Not Disclosed","G11","Managerial","Leadership"
"BLD-100398","Female","Pakistani","Not Tracked","47","45-54","Not Disclosed","G10","Managerial","Leadership"
"BLD-100399","Male","Pakistani","Not Tracked","53","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100400","Female","Nepali","Not Tracked","47","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100401","Male","Nepali","Not Tracked","59","55+","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100403","Male","Bangladeshi","Not Tracked","52","45-54","Not Disclosed","G12","Managerial","Leadership"
"BLD-100404","Male","Bangladeshi","Not Tracked","40","35-44","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100407","Female","Indian","Not Tracked","42","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100408","Male","Filipino","Not Tracked","35","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100409","Male","Indian","Not Tracked","40","35-44","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100413","Male","Indian","Not Tracked","59","55+","Not Disclosed","G13","Executive","Leadership"
"BLD-100415","Male","Filipino","Not Tracked","67","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100418","Male","Egyptian","Not Tracked","38","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100419","Male","Qatari","Not Tracked","53","45-54","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100420","Male","Nepali","Not Tracked","55","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100421","Female","Nepali","Not Tracked","62","55+","Not Disclosed","G12","Managerial","Leadership"
"BLD-100422","Male","Nepali","Not Tracked","57","55+","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100423","Female","Sudanese","Not Tracked","46","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100428","Male","Filipino","Not Tracked","34","25-34","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100429","Male","Indian","Not Tracked","47","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100430","Male","Egyptian","Not Tracked","35","35-44","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100432","Female","Filipino","Not Tracked","40","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100434","Male","Jordanian","Not Tracked","40","35-44","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100435","Male","Nepali","Not Tracked","29","25-34","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100436","Male","Indian","Not Tracked","57","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100437","Male","Jordanian","Not Tracked","50","45-54","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100438","Male","Egyptian","Not Tracked","48","45-54","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100439","Female","Egyptian","Not Tracked","51","45-54","Not Disclosed","G5","Staff","Non-Leadership"
"BLD-100441","Male","Nepali","Not Tracked","44","35-44","Not Disclosed","G11","Managerial","Leadership"
"BLD-100442","Male","Egyptian","Not Tracked","60","55+","Not Disclosed","G1","Staff","Non-Leadership"
"BLD-100445","Female","Pakistani","Not Tracked","47","45-54","Not Disclosed","G11","Managerial","Leadership"
"BLD-100448","Female","Sri Lankan","Not Tracked","62","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100450","Male","Egyptian","Not Tracked","50","45-54","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100451","Male","Indian","Not Tracked","57","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100452","Female","Sri Lankan","Not Tracked","35","35-44","Not Disclosed","G6","Supervisory","Non-Leadership"
"BLD-100453","Female","Sri Lankan","Not Tracked","50","45-54","Not Disclosed","G4","Staff","Non-Leadership"
"BLD-100455","Male","Jordanian","Not Tracked","50","45-54","Not Disclosed","G10","Managerial","Leadership"
"BLD-100456","Male","Filipino","Not Tracked","41","35-44","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100457","Male","Qatari","Not Tracked","63","55+","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100458","Female","Egyptian","Not Tracked","57","55+","Not Disclosed","G9","Supervisory","Non-Leadership"
"BLD-100463","Female","Nepali","Not Tracked","41","35-44","Not Disclosed","G8","Supervisory","Non-Leadership"
"BLD-100464","Male","Egyptian","Not Tracked","47","45-54","Not Disclosed","G10","Managerial","Leadership"
"BLD-100465","Male","Egyptian","Not Tracked","48","45-54","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100466","Female","Jordanian","Not Tracked","55","55+","Not Disclosed","G3","Staff","Non-Leadership"
"BLD-100472","Male","Egyptian","Not Tracked","41","35-44","Not Disclosed","G2","Staff","Non-Leadership"
"BLD-100474","Male","Egyptian","Not Tracked","26","25-34","Not Disclosed","G7","Supervisory","Non-Leadership"
"BLD-100477","Male","Nepali","Not Tracked","31","25-34","Not Disclosed","G1","Staff","Non-Leadership"
