"requisition_id","vacancy_position","job_grade","department","hiring_manager","requisition_open_date","requisition_close_date","candidate_id","candidate_gender","candidate_nationality","source_of_hire","interview_date","offer_date","joining_date","recruitment_cost"
"REQ-5050","Coordinator - People & Culture","G1","People & Culture","Noor Baig","2024-01-21","2024-02-28","CAN-5050","Female","Pakistani","Referral","2024-02-21","2024-03-05","2024-03-01","4280"
"REQ-5051","Coordinator - Supply Chain & Logistics","G1","Supply Chain & Logistics","Bishnu Iqbal","2023-05-04","2023-07-14","CAN-5051","Male","Indian","Agency","2023-05-23","2023-06-06","2023-07-17","2410"
"REQ-5052","Officer - IT & Digital","G4","IT & Digital","Ali Islam","2024-06-03","2024-08-13","CAN-5052","Female","Jordanian","Referral","2024-06-18","2024-06-22","2024-08-13","8390"
"REQ-5053","Senior Technician - People & Culture","G6","People & Culture","Juan Malik","2023-04-21","2023-07-03","CAN-5053","Male","Egyptian","Internal Transfer","2023-05-09","2023-05-17","2023-07-03","0"
"REQ-5054","Assistant Manager - People & Culture","G10","People & Culture","Noor Al-Sayed","2023-09-03","2023-11-02","CAN-5054","Female","Egyptian","Career Site","2023-09-25","2023-09-29","2023-11-04","8810"
"REQ-5055","Operator - Finance","G4","Finance","Mohamed Al-Sayed","2024-09-27","2024-10-18","CAN-5055","Female","Qatari","Referral","2024-10-31","2024-11-03","2024-10-21","11190"
"REQ-5056","Assistant - IT & Digital","G1","IT & Digital","Ahmed Santos","2024-01-27","2024-02-19","CAN-5056","Female","Indian","Agency","2024-03-06","2024-03-11","2024-02-20","8220"
"REQ-5057","Specialist - Farm Operations","G7","Farm Operations","Ahmed Cruz","2025-04-04","2025-05-07","CAN-5057","Male","Egyptian","Walk-in","2025-04-29","2025-05-04","2025-05-11","1080"
"REQ-5058","Supervisor - Procurement","G9","Procurement","Arjun Khan","2025-07-29","2025-09-17","CAN-5058","Male","Sri Lankan","Referral","2025-08-12","2025-08-22","2025-09-19","2370"
"REQ-5059","Coordinator - Corporate & Executive Office","G5","Corporate & Executive Office","Rakesh Sharma","2025-07-09","2025-09-06","CAN-5059","Male","Indian","Agency","2025-07-19","2025-08-02","2025-09-08","11250"
"REQ-5060","Technician - Farm Operations","G1","Farm Operations","Mohamed Kapoor","2025-05-07","2025-07-02","CAN-5060","Male","Nepali","Career Site","2025-05-29","2025-06-06","2025-07-06","1000"
"REQ-5061","Specialist - Sales & Distribution","G6","Sales & Distribution","Suresh Hassan","2024-04-18","2024-06-13","CAN-5061","Female","Nepali","Career Site","2024-05-06","2024-05-18","2024-06-13","3410"
"REQ-5062","Associate - Quality Assurance & Food Safety","G4","Quality Assurance & Food Safety","Sameer Hassan","2023-08-31","2023-10-06","CAN-5062","Male","Sudanese","Walk-in","2023-10-02","2023-10-11","2023-10-08","7550"
"REQ-5063","Officer - Procurement","G5","Procurement","Mohamed Chowdhury","2024-02-03","2024-03-07","CAN-5063","Female","Filipino","Agency","2024-02-16","2024-02-22","2024-03-09","8100"
"REQ-5064","Supervisor - Supply Chain & Logistics","G8","Supply Chain & Logistics","Sanjay Devi","2023-12-27","2024-03-04","CAN-5064","Male","Egyptian","LinkedIn","2024-01-14","2024-01-21","2024-03-08","3450"
"REQ-5065","Technician - R&D","G5","R&D","Waleed Cruz","2024-12-04","2025-02-13","CAN-5065","Female","Jordanian","Referral","2025-01-08","2025-01-20","2025-02-16","1550"
"REQ-5066","Coordinator - Sales & Distribution","G1","Sales & Distribution","Anil Al-Kuwari","2025-01-23","2025-03-08","CAN-5066","Male","Jordanian","Career Site","2025-02-12","2025-02-15","2025-03-10","4280"
"REQ-5067","Operator - Procurement","G3","Procurement","Bikram Al-Kuwari","2024-01-14","2024-03-24","CAN-5067","Male","Nepali","Referral","2024-02-20","2024-03-04","2024-03-24","3990"
"REQ-5068","Coordinator - Procurement","G1","Procurement","Ahmed Rai","2023-03-04","2023-04-24","CAN-5068","Male","Jordanian","Referral","2023-03-27","2023-03-30","2023-04-24","1420"
"REQ-5069","Assistant - Marketing","G2","Marketing","Aisha Iqbal","2025-10-18","2025-11-17","CAN-5069","Female","Egyptian","Agency","2025-11-21","2025-11-23","2025-11-17","8420"
"REQ-5070","Technician - Quality Assurance & Food Safety","G1","Quality Assurance & Food Safety","Kumar Mansour","2023-04-22","2023-06-24","CAN-5070","Male","Indian","Agency","2023-05-26","2023-06-01","2023-06-25","10600"
"REQ-5071","Specialist - R&D","G6","R&D","Ravi Al-Sayed","2025-02-01","2025-04-01","CAN-5071","Male","Filipino","Referral","2025-02-27","2025-03-01","2025-04-05","3450"
"REQ-5072","Team Lead - Quality Assurance & Food Safety","G8","Quality Assurance & Food Safety","Aisha Malik","2023-06-21","2023-07-22","CAN-5072","Male","Egyptian","LinkedIn","2023-07-20","2023-07-29","2023-07-23","1350"
"REQ-5073","Senior Officer - Marketing","G7","Marketing","Rajesh Malik","2024-04-05","2024-04-24","CAN-5073","Female","Filipino","Referral","2024-05-12","2024-05-20","2024-04-25","10130"
"REQ-5074","Senior Officer - Procurement","G8","Procurement","Jose Fernandes","2023-09-01","2023-09-26","CAN-5074","Male","Sudanese","Referral","2023-09-23","2023-10-07","2023-09-26","10250"
"REQ-5075","Senior Manager - Marketing","G11","Marketing","Huda Abdullah","2024-03-20","2024-05-19","CAN-5075","Male","Nepali","Career Site","2024-04-06","2024-04-20","2024-05-23","9530"
"REQ-5076","Operator - Finance","G3","Finance","Grace Reyes","2023-11-19","2024-01-09","CAN-5076","Female","Egyptian","Referral","2023-12-17","2023-12-29","2024-01-12","6800"
"REQ-5077","Chief Officer - Quality Assurance & Food Safety","G13","Quality Assurance & Food Safety","Yousef Al-Attiyah","2024-02-12","2024-03-18","CAN-5077","Male","Egyptian","Agency","2024-03-22","2024-04-04","2024-03-20","5110"
"REQ-5078","Team Lead - Sales & Distribution","G6","Sales & Distribution","Kumar El-Sayed","2024-07-30","2024-09-22","CAN-5078","Female","Egyptian","Referral","2024-08-16","2024-08-21","2024-09-25","6150"
"REQ-5079","Operator - Quality Assurance & Food Safety","G2","Quality Assurance & Food Safety","Khalid Al-Marri","2025-06-27","2025-07-24","CAN-5079","Male","Egyptian","LinkedIn","2025-07-25","2025-07-30","2025-07-26","4900"
"REQ-5080","Officer - Finance","G3","Finance","Grace Reyes","2024-06-04","2024-08-02","CAN-5080","Female","Egyptian","Internal Transfer","2024-06-27","2024-07-03","2024-08-03","0"
"REQ-5081","Assistant - Farm Operations","G5","Farm Operations","Hari Cruz","2023-12-21","2024-01-21","CAN-5081","Male","Nepali","Walk-in","2024-01-23","2024-02-06","2024-01-22","6190"
"REQ-5082","Manager - Finance","G10","Finance","Waleed Gurung","2025-01-05","2025-03-07","CAN-5082","Female","Egyptian","Career Site","2025-01-28","2025-02-05","2025-03-08","8110"
"REQ-5083","Technician - People & Culture","G1","People & Culture","Noor Baig","2023-06-05","2023-07-02","CAN-5083","Female","Indian","Internal Transfer","2023-07-01","2023-07-09","2023-07-06","0"
"REQ-5084","Associate - R&D","G3","R&D","Manoj Santos","2025-01-28","2025-02-19","CAN-5084","Female","Pakistani","Referral","2025-02-12","2025-02-23","2025-02-20","8580"
"REQ-5085","Senior Manager - Corporate & Executive Office","G10","Corporate & Executive Office","Pooja Chowdhury","2025-07-05","2025-08-17","CAN-5085","Male","Indian","Internal Transfer","2025-08-11","2025-08-14","2025-08-21","0"
"REQ-5086","Technician - Production","G3","Production","Kavita Chowdhury","2023-05-11","2023-07-04","CAN-5086","Male","Egyptian","Referral","2023-06-08","2023-06-19","2023-07-04","11280"
"REQ-5087","Supervisor - Farm Operations","G7","Farm Operations","Faisal Santos","2023-01-07","2023-03-07","CAN-5087","Male","Nepali","Career Site","2023-02-14","2023-02-28","2023-03-07","7450"
"REQ-5088","Associate - People & Culture","G4","People & Culture","Sanjay Kapoor","2023-01-03","2023-02-13","CAN-5088","Female","Nepali","Walk-in","2023-02-11","2023-02-23","2023-02-16","3640"
"REQ-5089","Associate - IT & Digital","G3","IT & Digital","Arjun Mendoza","2025-09-29","2025-11-25","CAN-5089","Male","Nepali","Internal Transfer","2025-10-10","2025-10-13","2025-11-27","0"
"REQ-5090","Supervisor - Quality Assurance & Food Safety","G8","Quality Assurance & Food Safety","Nadia Youssef","2022-12-23","2023-01-21","CAN-5090","Female","Egyptian","Agency","2023-01-05","2023-01-14","2023-01-21","6020"
"REQ-5091","Associate - Procurement","G5","Procurement","Yasmin Iqbal","2023-05-05","2023-06-29","CAN-5091","Male","Nepali","Career Site","2023-06-05","2023-06-16","2023-07-01","6310"
"REQ-5092","Manager - Corporate & Executive Office","G11","Corporate & Executive Office","Pooja Chowdhury","2025-03-02","2025-04-01","CAN-5092","Female","Nepali","Referral","2025-03-16","2025-03-30","2025-04-03","2110"
"REQ-5093","Coordinator - Quality Assurance & Food Safety","G1","Quality Assurance & Food Safety","Rajesh Farouk","2025-06-10","2025-08-08","CAN-5093","Female","Pakistani","LinkedIn","2025-07-04","2025-07-14","2025-08-08","9470"
"REQ-5094","Operator - Marketing","G3","Marketing","Ahmed Kapoor","2023-09-02","2023-09-30","CAN-5094","Female","Pakistani","Walk-in","2023-10-03","2023-10-09","2023-10-03","9340"
"REQ-5095","Officer - Engineering & Maintenance","G3","Engineering & Maintenance","Vikram Abdullah","2025-01-24","2025-03-18","CAN-5095","Male","Indian","LinkedIn","2025-02-26","2025-03-04","2025-03-19","2570"
"REQ-5096","Head of Department - IT & Digital","G13","IT & Digital","Yousef Al-Attiyah","2024-07-03","2024-09-13","CAN-5096","Male","Pakistani","Agency","2024-07-15","2024-07-29","2024-09-13","5090"
"REQ-5097","Team Lead - Corporate & Executive Office","G9","Corporate & Executive Office","Noor Abdullah","2023-03-14","2023-04-07","CAN-5097","Male","Filipino","Walk-in","2023-03-29","2023-04-07","2023-04-10","9540"
"REQ-5098","Senior Officer - People & Culture","G8","People & Culture","Tariq Khan","2025-01-16","2025-03-08","CAN-5098","Female","Filipino","University Hiring","2025-01-30","2025-02-05","2025-03-10","8840"
"REQ-5099","Manager - IT & Digital","G10","IT & Digital","Deepak Gurung","2022-11-07","2023-01-08","CAN-5099","Male","Nepali","Walk-in","2022-11-29","2022-12-02","2023-01-12","7940"
"REQ-5100","Senior Technician - Finance","G9","Finance","Omar Santos","2025-03-08","2025-04-03","CAN-5100","Female","Egyptian","Internal Transfer","2025-04-01","2025-04-10","2025-04-03","0"
"REQ-5101","Operator - Production","G4","Production","Omar Gurung","2024-07-31","2024-09-18","CAN-5101","Male","Sri Lankan","Career Site","2024-08-12","2024-08-19","2024-09-18","4110"
"REQ-5102","Specialist - People & Culture","G7","People & Culture","Tariq Khan","2023-11-21","2024-01-31","CAN-5102","Male","Qatari","LinkedIn","2023-12-10","2023-12-17","2024-02-02","11090"
"REQ-5103","Senior Manager - Production","G11","Production","Prakash Mendoza","2024-12-06","2025-02-01","CAN-5103","Male","Egyptian","University Hiring","2025-01-01","2025-01-04","2025-02-04","10650"
"REQ-5104","Technician - Supply Chain & Logistics","G1","Supply Chain & Logistics","Prakash Reyes","2025-04-14","2025-06-09","CAN-5104","Male","Sri Lankan","Referral","2025-05-17","2025-05-29","2025-06-10","11990"
"REQ-5105","Coordinator - Farm Operations","G1","Farm Operations","Manoj Ibrahim","2024-12-26","2025-01-13","CAN-5105","Male","Pakistani","Referral","2025-01-09","2025-01-19","2025-01-16","10850"
"REQ-5106","Senior Officer - Farm Operations","G6","Farm Operations","Anil Fernandes","2024-05-20","2024-07-26","CAN-5106","Male","Egyptian","Referral","2024-06-06","2024-06-11","2024-07-26","9500"
"REQ-5107","Senior Technician - Sales & Distribution","G9","Sales & Distribution","Bishnu Al-Marri","2023-11-09","2024-01-12","CAN-5107","Male","Jordanian","Internal Transfer","2023-11-19","2023-12-02","2024-01-12","0"
"REQ-5108","Coordinator - R&D","G4","R&D","Santosh Mahmoud","2024-07-31","2024-10-09","CAN-5108","Male","Bangladeshi","Referral","2024-08-10","2024-08-12","2024-10-09","7590"
"REQ-5109","Assistant Manager - Supply Chain & Logistics","G10","Supply Chain & Logistics","Suresh Reyes","2023-05-27","2023-08-04","CAN-5109","Male","Sri Lankan","Career Site","2023-07-04","2023-07-09","2023-08-08","1440"
"REQ-5110","Senior Officer - Engineering & Maintenance","G7","Engineering & Maintenance","Ravi Youssef","2024-09-08","2024-10-30","CAN-5110","Male","Pakistani","Career Site","2024-10-17","2024-10-31","2024-11-03","8620"
"REQ-5111","Associate - IT & Digital","G3","IT & Digital","Arjun Mendoza","2023-03-19","2023-05-19","CAN-5111","Male","Pakistani","Referral","2023-04-11","2023-04-13","2023-05-23","2200"
"REQ-5112","Senior Technician - Quality Assurance & Food Safety","G7","Quality Assurance & Food Safety","Vikram Hassan","2025-02-04","2025-04-01","CAN-5112","Male","Pakistani","Internal Transfer","2025-03-02","2025-03-13","2025-04-03","0"
"REQ-5113","Senior Technician - People & Culture","G9","People & Culture","Khalid Thapa","2023-08-12","2023-09-01","CAN-5113","Female","Pakistani","Career Site","2023-09-04","2023-09-08","2023-09-05","2960"
"REQ-5114","Specialist - Corporate & Executive Office","G6","Corporate & Executive Office","Rania Islam","2023-09-27","2023-10-16","CAN-5114","Female","Nepali","University Hiring","2023-10-09","2023-10-20","2023-10-17","7650"
"REQ-5115","Associate - Farm Operations","G3","Farm Operations","Santosh Abdullah","2024-02-17","2024-04-05","CAN-5115","Male","Qatari","Referral","2024-02-29","2024-03-10","2024-04-05","10700"
"REQ-5116","Assistant Manager - Marketing","G11","Marketing","Huda Abdullah","2023-06-24","2023-08-05","CAN-5116","Female","Pakistani","Referral","2023-07-16","2023-07-20","2023-08-08","2860"
"REQ-5117","Officer - Farm Operations","G2","Farm Operations","Khalid Santos","2023-08-27","2023-10-02","CAN-5117","Male","Nepali","Career Site","2023-09-23","2023-09-30","2023-10-06","7930"
"REQ-5118","Officer - IT & Digital","G3","IT & Digital","Suresh Mansour","2024-10-16","2024-12-20","CAN-5118","Male","Nepali","Walk-in","2024-11-08","2024-11-11","2024-12-22","4180"
"REQ-5119","Technician - Procurement","G1","Procurement","Priya Baig","2025-07-07","2025-08-17","CAN-5119","Male","Filipino","Internal Transfer","2025-08-02","2025-08-13","2025-08-19","0"
"REQ-5120","Coordinator - Procurement","G1","Procurement","Yasmin Iqbal","2025-07-02","2025-08-11","CAN-5120","Male","Qatari","Agency","2025-07-16","2025-07-19","2025-08-15","5330"
"REQ-5121","Specialist - IT & Digital","G7","IT & Digital","Salma Ibrahim","2022-10-25","2023-01-01","CAN-5121","Male","Indian","Referral","2022-11-07","2022-11-10","2023-01-03","3910"
"REQ-5122","Officer - Production","G5","Production","Tariq Mansour","2023-01-01","2023-01-25","CAN-5122","Male","Bangladeshi","Internal Transfer","2023-01-29","2023-02-05","2023-01-26","0"
"REQ-5123","Coordinator - Procurement","G5","Procurement","Ahmed Rai","2025-09-09","2025-10-18","CAN-5123","Male","Pakistani","LinkedIn","2025-10-18","2025-10-25","2025-10-21","3240"
"REQ-5124","Officer - Procurement","G4","Procurement","Yasmin Iqbal","2023-06-29","2023-09-07","CAN-5124","Female","Filipino","Referral","2023-07-27","2023-08-02","2023-09-09","5490"
"REQ-5125","Associate - Quality Assurance & Food Safety","G4","Quality Assurance & Food Safety","Sanjay Devi","2023-01-20","2023-03-05","CAN-5125","Male","Pakistani","Agency","2023-02-03","2023-02-07","2023-03-07","7140"
"REQ-5126","Operator - Engineering & Maintenance","G2","Engineering & Maintenance","Bikram Cruz","2023-12-27","2024-02-14","CAN-5126","Male","Egyptian","Internal Transfer","2024-01-22","2024-02-01","2024-02-17","0"
"REQ-5127","Assistant Manager - Corporate & Executive Office","G11","Corporate & Executive Office","Pooja Chowdhury","2025-06-16","2025-08-07","CAN-5127","Male","Indian","Agency","2025-07-03","2025-07-15","2025-08-08","5630"
"REQ-5128","Senior Officer - Marketing","G6","Marketing","Huda Ahmed","2023-09-03","2023-10-19","CAN-5128","Male","Jordanian","Agency","2023-09-28","2023-10-04","2023-10-22","9050"
"REQ-5129","Senior Technician - Finance","G9","Finance","Dalia Al-Kuwari","2023-06-03","2023-07-19","CAN-5129","Female","Nepali","Agency","2023-06-16","2023-06-29","2023-07-23","6630"
"REQ-5130","Associate - Sales & Distribution","G1","Sales & Distribution","Reem Youssef","2024-01-09","2024-02-09","CAN-5130","Female","Bangladeshi","Career Site","2024-01-26","2024-02-01","2024-02-12","6330"
"REQ-5131","Operator - IT & Digital","G1","IT & Digital","Manoj Mansour","2023-09-16","2023-10-08","CAN-5131","Female","Bangladeshi","Career Site","2023-09-27","2023-09-29","2023-10-08","1420"
"REQ-5132","Supervisor - Farm Operations","G7","Farm Operations","Ahmed Cruz","2024-05-09","2024-06-01","CAN-5132","Male","Egyptian","Referral","2024-06-04","2024-06-10","2024-06-02","4320"
"REQ-5133","Technician - People & Culture","G2","People & Culture","Omar Abdullah","2025-04-16","2025-05-06","CAN-5133","Female","Egyptian","Career Site","2025-05-23","2025-05-25","2025-05-09","10390"
"REQ-5134","Senior Technician - Production","G7","Production","Sameer Reyes","2023-03-04","2023-04-14","CAN-5134","Male","Egyptian","Internal Transfer","2023-04-04","2023-04-07","2023-04-15","0"
"REQ-5135","Specialist - Finance","G8","Finance","Rowena Fernandes","2024-07-10","2024-09-04","CAN-5135","Female","Egyptian","University Hiring","2024-08-04","2024-08-10","2024-09-04","11950"
"REQ-5136","Assistant - Finance","G3","Finance","Bishnu Pereira","2024-09-02","2024-10-13","CAN-5136","Female","Sri Lankan","Internal Transfer","2024-09-24","2024-09-30","2024-10-16","0"
