"employee_id","salary_effective_date","housing_allowance","transport_allowance","education_allowance","other_allowances","variable_pay","bonus","incentive","total_cash_compensation","total_remuneration"
"BLD-100017","2023-01-01","1700","1080","0","0","0","0","0","8920","9470"
"BLD-100017","2024-01-01","1550","850","0","0","0","5230","0","13450","15150"
"BLD-100017","2025-01-01","1470","690","1400","0","0","4630","0","14530","16060"
"BLD-100018","2023-01-01","1690","830","0","0","0","0","0","9340","9920"
"BLD-100018","2024-01-01","1490","950","0","180","0","0","0","9640","10410"
"BLD-100018","2025-01-01","1530","1150","0","400","0","0","0","9740","10500"
"BLD-100019","2023-01-01","1660","1000","0","360","0","1340","110","10020","11300"
"BLD-100019","2024-01-01","1360","620","80","0","0","0","190","7360","8350"
"BLD-100019","2025-01-01","1520","1060","0","0","0","1050","100","8910","9810"
"BLD-100020","2023-01-01","5580","690","0","110","1390","0","0","27350","30390"
"BLD-100020","2024-01-01","3440","1130","0","40","310","0","0","21740","23820"
"BLD-100020","2025-01-01","5590","690","0","0","1260","0","0","29260","32620"
"BLD-100021","2023-01-01","930","840","0","50","0","1130","0","6660","7280"
"BLD-100021","2024-01-01","880","850","880","0","0","1530","0","7790","8550"
"BLD-100021","2025-01-01","900","1020","0","0","0","2760","0","8180","9040"
"BLD-100022","2023-01-01","1200","910","0","0","0","0","400","7600","8380"
"BLD-100022","2024-01-01","1620","900","110","0","0","1610","270","10230","10920"
"BLD-100023","2023-01-01","590","1100","0","0","0","1750","0","6360","6750"
"BLD-100023","2024-01-01","940","1060","1030","0","0","2010","0","8170","8590"
"BLD-100023","2025-01-01","670","700","0","0","0","0","0","4480","5080"
"BLD-100024","2023-01-01","1400","840","1130","0","0","860","0","9950","10630"
"BLD-100025","2023-01-01","820","780","0","0","0","310","190","5790","6570"
"BLD-100025","2024-01-01","980","1060","550","0","0","3100","390","9750","10990"
"BLD-100025","2025-01-01","1160","950","0","0","0","2120","80","8290","9030"
"BLD-100026","2023-01-01","1790","800","40","0","0","2530","0","13400","14870"
"BLD-100026","2024-01-01","1870","980","0","0","0","5250","0","15000","17100"
"BLD-100027","2023-01-01","880","1120","1100","0","0","0","0","6280","7000"
"BLD-100027","2024-01-01","810","1040","0","0","0","140","0","5530","6240"
"BLD-100027","2025-01-01","840","1190","0","0","0","1880","0","7300","8250"
"BLD-100028","2023-01-01","750","820","160","0","0","0","0","5430","6120"
"BLD-100028","2024-01-01","1080","630","930","0","0","1980","0","8470","9470"
"BLD-100028","2025-01-01","960","1000","1280","0","0","0","0","6550","7070"
"BLD-100029","2023-01-01","710","1130","130","0","0","0","0","5070","5730"
"BLD-100029","2024-01-01","840","680","0","0","0","0","0","5010","5560"
"BLD-100030","2023-01-01","740","680","0","80","0","1350","0","5820","6480"
"BLD-100030","2024-01-01","910","1050","0","0","0","0","0","5020","5390"
"BLD-100030","2025-01-01","820","1050","0","0","0","790","0","5920","6410"
"BLD-100031","2023-01-01","1580","940","0","0","0","3290","0","12710","14610"
"BLD-100032","2023-01-01","1020","1070","840","260","0","0","410","7120","7780"
"BLD-100032","2024-01-01","680","620","100","0","0","1010","40","5690","6040"
"BLD-100032","2025-01-01","950","720","590","0","0","390","690","6860","7200"
"BLD-100033","2023-01-01","1450","860","0","0","0","2000","0","10510","11290"
"BLD-100033","2024-01-01","1440","800","0","180","0","0","0","8890","9470"
"BLD-100033","2025-01-01","1730","610","50","250","0","3370","0","11930","13230"
"BLD-100034","2023-01-01","930","970","1160","0","0","3000","0","9320","10210"
"BLD-100034","2024-01-01","780","1090","1200","0","0","1360","0","7720","8350"
"BLD-100034","2025-01-01","690","610","1090","0","0","0","0","5330","5770"
"BLD-100035","2023-01-01","2150","690","0","200","0","0","0","13150","13810"
"BLD-100036","2023-01-01","6670","680","0","0","1380","0","0","34530","37200"
"BLD-100036","2024-01-01","6270","1000","0","240","630","0","0","35480","38150"
"BLD-100036","2025-01-01","8130","1010","0","0","2570","0","0","45630","49820"
"BLD-100037","2023-01-01","1450","910","0","360","0","3540","0","11450","12190"
"BLD-100037","2024-01-01","1300","1120","0","0","0","4320","0","12630","14370"
"BLD-100037","2025-01-01","1510","1040","0","0","0","4960","0","13000","14780"
"BLD-100038","2023-01-01","3430","1050","1470","0","1120","0","0","22650","24680"
"BLD-100038","2024-01-01","3720","850","0","0","670","5440","0","25090","27330"
"BLD-100038","2025-01-01","3740","800","0","0","140","0","0","18610","21180"
"BLD-100039","2023-01-01","800","910","0","0","0","1770","0","7150","8190"
"BLD-100039","2024-01-01","880","750","1150","0","0","0","0","6930","7960"
"BLD-100039","2025-01-01","980","680","830","340","0","0","0","7560","8350"
"BLD-100040","2023-01-01","610","1110","0","0","0","1050","0","5600","6110"
"BLD-100040","2024-01-01","750","1160","1340","110","0","0","0","6740","7200"
"BLD-100040","2025-01-01","730","1030","0","0","0","1720","0","6720","7220"
"BLD-100041","2023-01-01","1240","1130","0","0","0","2240","0","8830","9750"
"BLD-100041","2024-01-01","970","1170","0","0","0","2520","0","9210","9860"
"BLD-100041","2025-01-01","950","1150","910","0","0","2380","0","9870","10550"
"BLD-100042","2023-01-01","2830","880","1380","0","0","3540","0","18960","21410"
"BLD-100042","2024-01-01","2800","730","0","0","0","0","0","13540","14220"
"BLD-100043","2023-01-01","870","870","230","0","0","3910","0","10120","10950"
"BLD-100043","2024-01-01","1120","960","0","0","0","750","0","7040","7870"
"BLD-100044","2023-01-01","1640","1140","0","0","0","4420","0","13890","15000"
"BLD-100044","2024-01-01","1950","840","0","0","0","6450","0","16350","17850"
"BLD-100044","2025-01-01","1670","860","140","0","0","0","0","9590","10710"
"BLD-100045","2023-01-01","1020","1070","0","0","0","0","0","6720","7140"
"BLD-100045","2024-01-01","1160","1000","0","0","0","3570","0","10820","12390"
"BLD-100045","2025-01-01","1490","790","0","0","0","0","0","7970","8390"
"BLD-100046","2023-01-01","870","870","0","0","0","1810","0","6870","7550"
"BLD-100046","2024-01-01","810","1150","0","0","0","0","0","5590","6290"
"BLD-100046","2025-01-01","980","870","970","0","0","2320","0","9100","9930"
"BLD-100047","2023-01-01","1390","700","500","0","0","0","0","7450","7930"
"BLD-100047","2024-01-01","1350","1200","230","0","0","0","0","8440","9650"
"BLD-100048","2023-01-01","800","1070","1330","0","0","3110","0","10050","10730"
"BLD-100049","2023-01-01","840","1010","0","0","0","0","0","5190","5720"
"BLD-100050","2023-01-01","830","790","0","0","0","1870","0","6270","6810"
"BLD-100051","2023-01-01","1860","850","1120","0","0","5890","0","16320","17370"
"BLD-100051","2024-01-01","1500","920","80","170","0","0","0","9630","10150"
"BLD-100051","2025-01-01","1540","690","0","0","0","5820","0","15160","16060"
"BLD-100052","2023-01-01","2030","1050","0","0","0","3310","0","15390","16500"
"BLD-100052","2024-01-01","1920","650","260","0","0","8950","0","20820","22150"
"BLD-100052","2025-01-01","2490","1130","0","0","0","2300","0","16340","18230"
"BLD-100053","2023-01-01","750","930","0","0","0","140","480","5210","5720"
"BLD-100054","2023-01-01","890","1100","0","0","0","1680","0","6890","7450"
"BLD-100054","2024-01-01","750","600","1340","0","0","3210","0","9510","10430"
"BLD-100054","2025-01-01","780","730","0","270","0","370","0","5920","6340"
"BLD-100055","2023-01-01","3020","1120","540","140","370","0","0","19330","20690"
"BLD-100055","2024-01-01","3540","660","930","340","1270","0","0","23590","26010"
"BLD-100055","2025-01-01","4170","790","0","0","1400","17000","0","40730","44800"
"BLD-100056","2023-01-01","2200","840","0","130","0","950","0","13350","15170"
"BLD-100056","2024-01-01","2370","860","0","0","0","0","0","13050","14210"
"BLD-100057","2023-01-01","950","880","0","0","0","1280","0","6820","7420"
"BLD-100057","2024-01-01","990","830","840","0","0","3020","0","9330","10660"
"BLD-100058","2023-01-01","640","1170","0","0","0","0","0","4910","5160"
"BLD-100058","2024-01-01","740","620","0","0","0","1340","0","5580","5860"
"BLD-100058","2025-01-01","1000","820","0","0","0","2700","0","8000","8800"
"BLD-100059","2023-01-01","4320","1110","890","0","550","11820","0","33270","36540"
"BLD-100059","2024-01-01","4060","850","0","0","180","0","0","20650","23410"
"BLD-100059","2025-01-01","4220","610","0","0","1010","9810","0","30330","32990"
"BLD-100060","2023-01-01","770","910","210","140","0","2960","0","8110","8840"
"BLD-100060","2024-01-01","710","990","0","0","0","1480","0","6610","6960"
"BLD-100060","2025-01-01","1010","620","0","0","0","0","0","5060","5340"
"BLD-100061","2023-01-01","1030","640","0","210","0","0","450","7210","7860"
"BLD-100061","2024-01-01","1350","790","430","0","0","3950","570","11640","13190"
"BLD-100061","2025-01-01","1610","680","0","0","0","4910","780","13440","15060"
"BLD-100062","2023-01-01","1230","820","0","30","0","0","0","7230","7910"
"BLD-100062","2024-01-01","1210","690","1460","0","0","5550","0","14840","17030"
"BLD-100063","2023-01-01","910","640","850","0","0","2640","0","9250","9900"
"BLD-100063","2024-01-01","1430","1170","140","0","0","4710","0","12430","13520"
"BLD-100063","2025-01-01","1130","790","0","0","0","1180","0","8260","9270"
"BLD-100064","2023-01-01","690","660","0","0","0","1380","0","5890","6770"
"BLD-100065","2023-01-01","1080","640","0","0","0","0","0","6170","6510"
"BLD-100066","2023-01-01","2420","890","1230","0","0","0","0","12900","14100"
"BLD-100066","2024-01-01","2150","810","0","0","0","0","0","11140","12110"
"BLD-100066","2025-01-01","2050","1040","0","0","0","0","0","11270","11980"
"BLD-100067","2023-01-01","780","1140","170","0","0","560","230","5730","6320"
"BLD-100068","2023-01-01","2220","710","0","0","0","2240","0","13350","14430"
"BLD-100068","2024-01-01","1940","640","0","0","0","0","0","9750","11030"
"BLD-100068","2025-01-01","1840","820","700","0","0","6190","0","17780","19230"
"BLD-100069","2023-01-01","1430","780","0","0","0","0","740","8810","9690"
"BLD-100069","2024-01-01","2020","970","0","0","0","0","370","10110","10700"
"BLD-100069","2025-01-01","1490","840","0","0","0","0","90","8400","9010"
"BLD-100070","2023-01-01","2960","1120","0","0","0","2650","0","16630","18470"
"BLD-100070","2024-01-01","2720","780","290","380","0","8880","0","23690","26490"
"BLD-100070","2025-01-01","2570","760","0","270","0","0","0","12750","13690"
"BLD-100071","2023-01-01","2450","860","0","0","0","0","620","14770","16070"
"BLD-100071","2024-01-01","2590","940","0","80","0","10450","70","27030","29450"
"BLD-100071","2025-01-01","2890","720","0","0","0","0","510","17310","19370"
"BLD-100072","2023-01-01","3090","1150","1090","0","0","6030","0","24230","25930"
"BLD-100072","2024-01-01","2530","1080","0","0","0","3030","0","17680","19010"
"BLD-100072","2025-01-01","2800","730","0","0","0","1890","0","17070","19010"
"BLD-100073","2023-01-01","2880","1110","0","0","0","8560","0","22420","24230"
"BLD-100073","2024-01-01","2130","1070","0","0","0","8780","0","21990","24250"
"BLD-100073","2025-01-01","2990","770","360","0","0","6330","0","21310","23220"
"BLD-100074","2023-01-01","1230","1040","0","0","0","4370","0","12130","13900"
"BLD-100075","2023-01-01","950","810","0","0","0","0","0","4940","5230"
"BLD-100075","2024-01-01","720","1070","0","0","0","0","0","4940","5340"
"BLD-100075","2025-01-01","900","1000","0","90","0","0","0","5460","6040"
"BLD-100076","2023-01-01","800","1120","590","0","0","2540","0","8440","9080"
"BLD-100076","2024-01-01","1110","730","0","0","0","890","0","6580","6930"
"BLD-100076","2025-01-01","1080","1050","0","0","0","2630","0","8870","9490"
"BLD-100077","2023-01-01","1920","950","1460","0","0","0","0","12520","13560"
"BLD-100077","2024-01-01","1500","670","1480","50","0","0","0","10880","12060"
"BLD-100078","2023-01-01","1170","980","0","0","0","1410","0","7630","8370"
"BLD-100079","2023-01-01","640","690","1260","0","0","0","0","5420","6160"
"BLD-100080","2023-01-01","810","730","0","0","0","2000","0","7050","7610"
"BLD-100081","2023-01-01","800","970","1040","0","0","0","0","5880","6220"
"BLD-100082","2023-01-01","800","730","0","0","0","3160","0","8500","9390"
"BLD-100082","2024-01-01","1060","970","0","0","0","2550","0","8820","9910"
"BLD-100082","2025-01-01","950","1150","0","0","0","0","0","5930","6490"
"BLD-100083","2023-01-01","1460","600","0","0","0","0","0","9010","9490"
"BLD-100083","2024-01-01","2320","700","0","0","0","0","0","10920","11920"
"BLD-100083","2025-01-01","2490","900","0","0","0","0","0","11950","12820"
"BLD-100084","2023-01-01","1330","950","0","0","0","3760","0","11920","13540"
"BLD-100085","2023-01-01","840","1100","660","0","0","0","0","5920","6750"
"BLD-100085","2024-01-01","780","930","0","0","0","0","0","5060","5520"
"BLD-100086","2023-01-01","3590","680","1280","0","350","0","0","21300","23540"
"BLD-100086","2024-01-01","2850","990","100","230","30","0","0","17300","18430"
"BLD-100086","2025-01-01","3940","640","0","0","20","14590","0","35330","39040"
"BLD-100087","2023-01-01","3480","1030","0","0","650","6250","0","24510","26620"
"BLD-100087","2024-01-01","3250","1030","660","0","840","0","0","19580","22150"
"BLD-100087","2025-01-01","4020","960","60","0","740","2870","0","24910","28210"
"BLD-100088","2023-01-01","1230","610","0","0","0","3200","0","9230","10590"
"BLD-100088","2024-01-01","1130","650","0","0","0","0","0","6200","6770"
"BLD-100088","2025-01-01","1150","650","0","0","0","2130","0","8110","8770"
"BLD-100089","2023-01-01","790","700","700","0","0","0","0","5530","5930"
"BLD-100089","2024-01-01","970","750","0","0","0","2360","0","7490","8600"
"BLD-100090","2023-01-01","750","800","710","0","0","940","0","6020","6830"
"BLD-100090","2024-01-01","790","1170","0","350","0","460","0","5990","6380"
"BLD-100090","2025-01-01","770","680","0","0","0","940","0","5750","6060"
"BLD-100091","2023-01-01","1410","670","370","0","0","4290","0","12040","13100"
"BLD-100091","2024-01-01","1100","910","630","310","0","0","0","8400","8840"
"BLD-100091","2025-01-01","1330","1070","0","0","0","0","0","8240","8690"
"BLD-100092","2023-01-01","640","800","0","180","0","0","0","4620","5000"
"BLD-100092","2024-01-01","790","680","1420","0","0","290","0","6390","6980"
"BLD-100092","2025-01-01","1070","760","0","0","0","1010","0","6450","7320"
"BLD-100093","2023-01-01","3320","710","50","0","0","7590","0","22830","24390"
"BLD-100093","2024-01-01","2930","810","0","0","0","10610","0","26790","29660"
"BLD-100093","2025-01-01","2780","620","0","100","0","0","0","15370","16340"
"BLD-100094","2023-01-01","2100","1030","0","0","0","1310","0","12490","13760"
"BLD-100095","2023-01-01","800","610","0","0","0","330","0","4800","5160"
"BLD-100095","2024-01-01","680","720","0","0","0","980","0","5370","5690"
"BLD-100095","2025-01-01","810","1190","0","0","0","920","0","5850","6600"
"BLD-100096","2023-01-01","3540","860","0","0","0","11370","0","28010","29670"
"BLD-100096","2024-01-01","2840","990","1160","0","0","0","0","18580","21100"
"BLD-100096","2025-01-01","2680","630","0","0","0","4720","0","19140","21780"
"BLD-100097","2023-01-01","1420","800","0","0","0","2950","0","11030","11750"
"BLD-100097","2024-01-01","1510","1090","1450","0","0","0","0","10310","11690"
"BLD-100097","2025-01-01","1340","1090","0","0","0","0","0","8620","9150"
"BLD-100098","2023-01-01","930","960","0","200","0","3000","0","9610","10200"
"BLD-100099","2023-01-01","810","790","0","0","0","580","80","5970","6870"
"BLD-100099","2024-01-01","880","1150","170","0","0","0","250","6000","6510"
"BLD-100100","2023-01-01","3120","1140","1060","20","930","9350","80","29960","34300"
"BLD-100100","2024-01-01","3470","790","0","0","480","6000","200","27200","29610"
"BLD-100101","2023-01-01","2790","830","800","0","0","6230","0","21260","24380"
"BLD-100101","2024-01-01","3410","640","0","0","0","0","0","16250","17810"
"BLD-100101","2025-01-01","2400","1050","0","0","0","0","0","14720","16380"
"BLD-100102","2023-01-01","880","1120","830","0","0","0","0","5940","6620"
"BLD-100102","2024-01-01","730","1020","140","0","0","0","0","4990","5340"
"BLD-100102","2025-01-01","880","970","450","290","0","20","0","5860","6580"
"BLD-100103","2023-01-01","920","890","0","0","0","1600","0","7130","7910"
"BLD-100103","2024-01-01","810","830","530","0","0","2980","0","9050","9950"
"BLD-100103","2025-01-01","810","840","390","0","0","780","0","6750","7470"
"BLD-100104","2023-01-01","920","1100","640","0","0","0","0","6510","7080"
"BLD-100104","2024-01-01","870","640","0","0","0","0","0","5540","5850"
"BLD-100104","2025-01-01","960","610","1280","0","0","1960","0","9410","10630"
"BLD-100105","2023-01-01","2760","690","0","190","0","0","0","12860","14360"
"BLD-100105","2024-01-01","2420","820","0","0","0","3060","0","16320","17550"
"BLD-100105","2025-01-01","2740","960","1040","0","0","1440","0","15730","16530"
"BLD-100106","2023-01-01","1040","630","0","240","0","0","0","5400","5860"
"BLD-100106","2024-01-01","1080","750","190","0","0","0","0","5640","6370"
"BLD-100107","2023-01-01","2750","750","0","0","0","9140","0","22450","25100"
"BLD-100107","2024-01-01","2730","890","360","0","0","10000","0","24720","26260"
"BLD-100107","2025-01-01","1990","1140","0","280","0","0","0","12880","14500"
"BLD-100108","2023-01-01","1430","790","0","0","0","0","0","7760","8660"
"BLD-100108","2024-01-01","1610","700","810","0","0","0","0","8490","8960"
"BLD-100108","2025-01-01","1430","990","0","0","0","0","0","7960","8860"
"BLD-100109","2023-01-01","6380","760","0","0","2060","17990","0","57570","61730"
"BLD-100109","2024-01-01","8780","950","670","0","2450","12470","0","59190","62450"
"BLD-100109","2025-01-01","6840","1170","0","0","300","23520","0","60660","66020"
"BLD-100110","2023-01-01","680","970","0","0","0","2960","0","7820","8900"
"BLD-100110","2024-01-01","710","1090","0","270","0","0","0","5270","5970"
"BLD-100111","2023-01-01","950","1160","0","0","0","1360","0","6700","7120"
"BLD-100111","2024-01-01","910","690","820","0","0","1810","0","7450","8100"
"BLD-100111","2025-01-01","840","1150","0","0","0","0","0","5880","6540"
"BLD-100112","2023-01-01","3020","1170","0","0","560","7630","0","27350","30100"
"BLD-100112","2024-01-01","3320","920","0","0","260","4340","0","23610","26070"
"BLD-100112","2025-01-01","4680","770","0","100","740","9800","0","31950","35710"
"BLD-100113","2023-01-01","830","840","150","0","0","0","0","5020","5280"
"BLD-100113","2024-01-01","920","930","0","0","0","0","0","5090","5410"
"BLD-100113","2025-01-01","1000","650","10","0","0","580","0","5760","6310"
"BLD-100114","2023-01-01","860","990","440","0","0","1210","0","6480","7410"
"BLD-100114","2024-01-01","930","870","0","60","0","0","0","5330","5720"
"BLD-100114","2025-01-01","980","1090","0","0","0","1680","0","7150","7650"
"BLD-100115","2023-01-01","1950","1130","0","0","0","0","0","9790","10840"
"BLD-100115","2024-01-01","1490","770","120","0","0","0","0","8740","9730"
"BLD-100115","2025-01-01","1660","730","0","290","0","0","0","9430","10440"
"BLD-100116","2023-01-01","1610","1040","0","0","0","0","790","9020","9850"
"BLD-100117","2023-01-01","890","1160","0","0","0","820","0","6490","7360"
"BLD-100118","2023-01-01","2020","890","0","0","0","5180","0","17100","18750"
"BLD-100118","2024-01-01","2380","880","0","0","0","8100","0","21270","23920"
"BLD-100118","2025-01-01","2810","690","0","0","0","0","0","13340","14330"
"BLD-100119","2023-01-01","3790","1170","0","0","1490","0","0","21550","22980"
"BLD-100119","2024-01-01","3870","1120","0","0","630","0","0","21770","24400"
"BLD-100119","2025-01-01","3550","700","0","0","390","2220","0","22800","25900"
"BLD-100120","2023-01-01","1450","610","0","0","0","0","0","6920","7510"
"BLD-100121","2023-01-01","2010","1070","590","0","0","2200","0","13220","14610"
"BLD-100121","2024-01-01","1840","710","0","0","0","0","0","10040","10640"
"BLD-100121","2025-01-01","2400","820","0","0","0","4320","0","16230","17090"
"BLD-100122","2023-01-01","910","650","0","0","0","0","560","5320","5940"
"BLD-100122","2024-01-01","1050","660","110","0","0","2420","670","8490","9760"
"BLD-100122","2025-01-01","1010","630","0","0","0","0","410","5540","5960"
"BLD-100123","2023-01-01","1440","980","0","0","0","0","0","9290","10390"
"BLD-100123","2024-01-01","1910","1100","1110","0","0","0","0","12140","13450"
"BLD-100123","2025-01-01","2240","1060","0","0","0","4980","0","16640","17670"
"BLD-100124","2023-01-01","2930","710","70","0","0","0","0","14450","15230"
"BLD-100125","2023-01-01","1260","960","0","0","0","3740","40","11510","13190"
"BLD-100125","2024-01-01","1780","730","0","0","0","3270","370","13390","15170"
"BLD-100125","2025-01-01","1880","760","0","310","0","3110","200","13350","14300"
"BLD-100126","2023-01-01","710","1060","0","0","0","2820","260","8310","9360"
"BLD-100126","2024-01-01","950","1050","0","0","0","1240","80","7220","7880"
"BLD-100126","2025-01-01","870","1160","930","0","0","850","90","7290","7810"
"BLD-100127","2023-01-01","1800","600","140","0","0","3900","0","13550","14530"
"BLD-100127","2024-01-01","1490","680","1470","0","0","0","0","10700","12290"
"BLD-100127","2025-01-01","1670","970","0","0","0","0","0","10230","10890"
"BLD-100128","2023-01-01","1310","1180","1380","0","0","0","0","8810","9380"
"BLD-100128","2024-01-01","1160","690","1280","280","0","0","0","8130","8540"
"BLD-100128","2025-01-01","940","950","0","0","0","3170","0","9610","10660"
"BLD-100129","2023-01-01","820","1000","0","0","0","700","0","5370","5640"
"BLD-100129","2024-01-01","980","700","630","0","0","0","0","5780","6620"
"BLD-100129","2025-01-01","970","690","0","0","0","550","0","5720","6010"
"BLD-100130","2023-01-01","2430","1180","890","0","0","2780","0","15960","17210"
"BLD-100130","2024-01-01","2400","990","1400","0","0","0","0","14530","16210"
"BLD-100130","2025-01-01","3080","970","150","0","0","2580","0","17490","18470"
"BLD-100131","2023-01-01","1180","1070","0","0","0","2540","380","9680","10800"
"BLD-100131","2024-01-01","930","1100","0","0","0","0","70","6530","7360"
"BLD-100131","2025-01-01","1010","1050","1330","0","0","0","220","8460","9480"
"BLD-100132","2023-01-01","870","740","0","0","0","2120","0","7450","8060"
"BLD-100133","2023-01-01","1970","960","0","0","0","1750","0","11560","12400"
"BLD-100133","2024-01-01","2300","600","950","0","0","0","0","12640","14240"
"BLD-100133","2025-01-01","2440","880","0","0","0","7270","0","18790","19910"
"BLD-100134","2023-01-01","2030","900","0","90","0","4640","0","15430","16880"
"BLD-100134","2024-01-01","1770","870","0","290","0","120","0","10510","12050"
"BLD-100134","2025-01-01","2550","1140","920","0","0","1980","0","15490","16440"
"BLD-100135","2023-01-01","970","790","680","0","0","0","0","5950","6770"
"BLD-100136","2023-01-01","3010","880","130","0","0","1730","0","15920","18230"
"BLD-100136","2024-01-01","2500","980","0","0","0","0","0","12540","13400"
"BLD-100137","2023-01-01","3640","1030","0","0","1020","10850","0","32660","35180"
"BLD-100137","2024-01-01","3270","800","0","80","760","9670","0","28620","32750"
"BLD-100137","2025-01-01","3310","630","0","0","1330","12250","0","33290","36210"
"BLD-100138","2023-01-01","1280","640","0","0","0","0","570","6760","7680"
"BLD-100138","2024-01-01","1110","810","280","0","0","240","730","7450","8060"
"BLD-100138","2025-01-01","1180","1030","0","0","0","1040","60","8810","9780"
"BLD-100139","2023-01-01","3490","1190","0","350","0","60","0","17970","19780"
"BLD-100139","2024-01-01","3290","700","120","0","0","0","0","17330","18440"
"BLD-100140","2023-01-01","2760","930","0","0","530","0","0","17850","18910"
"BLD-100140","2024-01-01","3830","1150","0","0","1290","50","0","20190","21330"
"BLD-100140","2025-01-01","3240","1020","0","0","200","0","0","18250","19810"
"BLD-100141","2023-01-01","3690","760","0","0","1100","12790","0","34170","38190"
"BLD-100141","2024-01-01","4370","860","780","70","230","0","0","23900","25780"
"BLD-100141","2025-01-01","5500","940","0","0","220","0","0","25630","27800"
"BLD-100142","2023-01-01","4910","1180","0","0","970","15980","0","42910","45490"
"BLD-100142","2024-01-01","3710","650","0","190","620","3430","0","26760","30140"
"BLD-100142","2025-01-01","6520","960","0","0","1550","0","0","31070","34130"
"BLD-100143","2023-01-01","820","1000","410","80","0","0","0","6190","6890"
"BLD-100143","2024-01-01","950","810","0","0","0","1900","0","7570","8680"
"BLD-100143","2025-01-01","1100","620","0","0","0","4420","0","10560","11850"
"BLD-100144","2023-01-01","940","960","1400","0","0","2870","230","11060","11680"
"BLD-100144","2024-01-01","1170","790","650","0","0","0","480","8710","9880"
"BLD-100144","2025-01-01","1410","730","0","0","0","1370","290","9430","10230"
"BLD-100145","2023-01-01","1030","910","1230","40","0","3010","0","10700","12090"
"BLD-100145","2024-01-01","1150","620","60","0","0","1710","0","8330","9210"
"BLD-100145","2025-01-01","1300","790","880","0","0","1620","0","9480","10610"
"BLD-100146","2023-01-01","760","1140","1280","200","0","30","0","6540","7470"
"BLD-100146","2024-01-01","730","1120","0","0","0","2190","0","7230","7990"
"BLD-100146","2025-01-01","820","680","0","0","0","2670","0","7780","8890"
"BLD-100147","2023-01-01","830","990","1250","0","0","0","0","6160","7010"
"BLD-100147","2024-01-01","850","900","990","200","0","1130","0","7850","8420"
"BLD-100148","2023-01-01","1090","1110","0","0","0","0","320","7820","8330"
"BLD-100148","2024-01-01","1550","1150","0","0","0","0","790","8860","9520"
"BLD-100148","2025-01-01","1200","790","890","0","0","210","290","8520","9690"
"BLD-100149","2023-01-01","810","800","0","0","0","0","0","4550","4780"
"BLD-100149","2024-01-01","810","1160","0","320","0","2300","0","7500","7880"
