"employee_id","grade","position","base_salary","currency","salary_effective_date"
"BLD-100048","G2","Technician - Farm Operations","3740","QAR","2023-01-01"
"BLD-100049","G2","Officer - Finance","3340","QAR","2023-01-01"
"BLD-100050","G1","Assistant - Farm Operations","2780","QAR","2023-01-01"
"BLD-100051","G6","Senior Technician - Quality Assurance & Food Safety","6600","EGP","2023-01-01"
"BLD-100051","G6","Senior Technician - Quality Assurance & Food Safety","6960","EGP","2024-01-01"
"BLD-100051","G6","Senior Technician - Quality Assurance & Food Safety","7110","EGP","2025-01-01"
"BLD-100052","G8","Supervisor - Production","9000","QAR","2023-01-01"
"BLD-100052","G8","Supervisor - Production","9040","QAR","2024-01-01"
"BLD-100052","G8","Supervisor - Production","10420","QAR","2025-01-01"
"BLD-100053","G1","Technician - Sales & Distribution","2910","EGP","2023-01-01"
"BLD-100054","G2","Technician - Procurement","3220","QAR","2023-01-01"
"BLD-100054","G2","Technician - Procurement","3610","QAR","2024-01-01"
"BLD-100054","G2","Technician - Procurement","3770","QAR","2025-01-01"
"BLD-100055","G10","Assistant Manager - Farm Operations","14140","QAR","2023-01-01"
"BLD-100055","G10","Assistant Manager - Farm Operations","16850","QAR","2024-01-01"
"BLD-100055","G10","Assistant Manager - Farm Operations","17370","QAR","2025-01-01"
"BLD-100056","G8","Senior Technician - Marketing","9230","QAR","2023-01-01"
"BLD-100056","G8","Senior Technician - Marketing","9820","QAR","2024-01-01"
"BLD-100057","G3","Coordinator - Quality Assurance & Food Safety","3710","EGP","2023-01-01"
"BLD-100057","G3","Coordinator - Quality Assurance & Food Safety","3650","EGP","2024-01-01"
"BLD-100058","G1","Associate - Quality Assurance & Food Safety","3100","QAR","2023-01-01"
"BLD-100058","G1","Associate - Quality Assurance & Food Safety","2880","QAR","2024-01-01"
"BLD-100058","G1","Associate - Quality Assurance & Food Safety","3480","QAR","2025-01-01"
"BLD-100059","G10","Manager - R&D","14580","QAR","2023-01-01"
"BLD-100059","G10","Manager - R&D","15560","QAR","2024-01-01"
"BLD-100059","G10","Manager - R&D","14680","QAR","2025-01-01"
"BLD-100060","G1","Operator - Procurement","3120","QAR","2023-01-01"
"BLD-100060","G1","Operator - Procurement","3430","QAR","2024-01-01"
"BLD-100060","G1","Operator - Procurement","3430","QAR","2025-01-01"
"BLD-100061","G4","Officer - Sales & Distribution","4880","QAR","2023-01-01"
"BLD-100061","G4","Officer - Sales & Distribution","4550","QAR","2024-01-01"
"BLD-100061","G4","Officer - Sales & Distribution","5460","QAR","2025-01-01"
"BLD-100062","G5","Officer - Quality Assurance & Food Safety","5150","EGP","2023-01-01"
"BLD-100062","G5","Officer - Quality Assurance & Food Safety","5930","EGP","2024-01-01"
"BLD-100063","G4","Assistant - Supply Chain & Logistics","4210","QAR","2023-01-01"
"BLD-100063","G4","Assistant - Supply Chain & Logistics","4980","QAR","2024-01-01"
"BLD-100063","G4","Assistant - Supply Chain & Logistics","5160","QAR","2025-01-01"
"BLD-100064","G2","Operator - Finance","3160","EGP","2023-01-01"
"BLD-100065","G4","Assistant - Marketing","4450","QAR","2023-01-01"
"BLD-100066","G7","Supervisor - Finance","8360","EGP","2023-01-01"
"BLD-100066","G7","Supervisor - Finance","8180","EGP","2024-01-01"
"BLD-100066","G7","Supervisor - Finance","8180","EGP","2025-01-01"
"BLD-100067","G1","Coordinator - Sales & Distribution","2850","QAR","2023-01-01"
"BLD-100068","G7","Team Lead - People & Culture","8180","QAR","2023-01-01"
"BLD-100068","G7","Team Lead - People & Culture","7170","QAR","2024-01-01"
"BLD-100068","G7","Team Lead - People & Culture","8230","QAR","2025-01-01"
"BLD-100069","G6","Specialist - Sales & Distribution","5860","QAR","2023-01-01"
"BLD-100069","G6","Specialist - Sales & Distribution","6750","QAR","2024-01-01"
"BLD-100069","G6","Specialist - Sales & Distribution","5980","QAR","2025-01-01"
"BLD-100070","G8","Team Lead - Quality Assurance & Food Safety","9900","EGP","2023-01-01"
"BLD-100070","G8","Team Lead - Quality Assurance & Food Safety","10640","EGP","2024-01-01"
"BLD-100070","G8","Team Lead - Quality Assurance & Food Safety","9150","EGP","2025-01-01"
"BLD-100071","G9","Senior Officer - Sales & Distribution","10840","EGP","2023-01-01"
"BLD-100071","G9","Senior Officer - Sales & Distribution","12900","EGP","2024-01-01"
"BLD-100071","G9","Senior Officer - Sales & Distribution","13190","EGP","2025-01-01"
"BLD-100072","G9","Senior Technician - Supply Chain & Logistics","12870","EGP","2023-01-01"
"BLD-100072","G9","Senior Technician - Supply Chain & Logistics","11040","EGP","2024-01-01"
"BLD-100072","G9","Senior Technician - Supply Chain & Logistics","11650","EGP","2025-01-01"
"BLD-100073","G8","Senior Technician - Farm Operations","9870","QAR","2023-01-01"
"BLD-100073","G8","Senior Technician - Farm Operations","10010","QAR","2024-01-01"
"BLD-100073","G8","Senior Technician - Farm Operations","10860","QAR","2025-01-01"
"BLD-100074","G5","Operator - Procurement","5490","QAR","2023-01-01"
"BLD-100075","G1","Officer - Production","3180","EGP","2023-01-01"
"BLD-100075","G1","Officer - Production","3150","EGP","2024-01-01"
"BLD-100075","G1","Officer - Production","3470","EGP","2025-01-01"
"BLD-100076","G2","Technician - Marketing","3390","QAR","2023-01-01"
"BLD-100076","G2","Technician - Marketing","3850","QAR","2024-01-01"
"BLD-100076","G2","Technician - Marketing","4110","QAR","2025-01-01"
"BLD-100077","G7","Supervisor - Quality Assurance & Food Safety","8190","EGP","2023-01-01"
"BLD-100077","G7","Supervisor - Quality Assurance & Food Safety","7180","EGP","2024-01-01"
"BLD-100078","G3","Associate - Engineering & Maintenance","4070","QAR","2023-01-01"
"BLD-100079","G1","Assistant - Procurement","2830","QAR","2023-01-01"
"BLD-100080","G3","Assistant - Production","3510","EGP","2023-01-01"
"BLD-100081","G1","Assistant - Quality Assurance & Food Safety","3070","EGP","2023-01-01"
"BLD-100082","G3","Associate - Corporate & Executive Office","3810","QAR","2023-01-01"
"BLD-100082","G3","Associate - Corporate & Executive Office","4240","QAR","2024-01-01"
"BLD-100082","G3","Associate - Corporate & Executive Office","3830","QAR","2025-01-01"
"BLD-100083","G7","Specialist - Procurement","6950","QAR","2023-01-01"
"BLD-100083","G7","Specialist - Procurement","7900","QAR","2024-01-01"
"BLD-100083","G7","Specialist - Procurement","8560","QAR","2025-01-01"
"BLD-100084","G6","Senior Technician - Finance","5880","QAR","2023-01-01"
"BLD-100085","G1","Officer - Supply Chain & Logistics","3320","QAR","2023-01-01"
"BLD-100085","G1","Officer - Supply Chain & Logistics","3350","QAR","2024-01-01"
"BLD-100086","G10","Senior Manager - Quality Assurance & Food Safety","15400","EGP","2023-01-01"
"BLD-100086","G10","Senior Manager - Quality Assurance & Food Safety","13100","EGP","2024-01-01"
"BLD-100086","G10","Senior Manager - Quality Assurance & Food Safety","16140","EGP","2025-01-01"
"BLD-100087","G10","Assistant Manager - R&D","13100","QAR","2023-01-01"
"BLD-100087","G10","Assistant Manager - R&D","13800","QAR","2024-01-01"
"BLD-100087","G10","Assistant Manager - R&D","16260","QAR","2025-01-01"
"BLD-100088","G3","Technician - Marketing","4190","QAR","2023-01-01"
"BLD-100088","G3","Technician - Marketing","4420","QAR","2024-01-01"
"BLD-100088","G3","Technician - Marketing","4180","QAR","2025-01-01"
"BLD-100089","G1","Associate - Supply Chain & Logistics","3340","QAR","2023-01-01"
"BLD-100089","G1","Associate - Supply Chain & Logistics","3410","QAR","2024-01-01"
"BLD-100090","G1","Officer - Supply Chain & Logistics","2820","EGP","2023-01-01"
"BLD-100090","G1","Officer - Supply Chain & Logistics","3220","EGP","2024-01-01"
"BLD-100090","G1","Officer - Supply Chain & Logistics","3360","EGP","2025-01-01"
"BLD-100091","G5","Operator - Finance","5300","EGP","2023-01-01"
"BLD-100091","G5","Operator - Finance","5450","EGP","2024-01-01"
"BLD-100091","G5","Operator - Finance","5840","EGP","2025-01-01"
"BLD-100092","G1","Operator - Production","3000","EGP","2023-01-01"
"BLD-100092","G1","Operator - Production","3210","EGP","2024-01-01"
"BLD-100092","G1","Operator - Production","3610","EGP","2025-01-01"
"BLD-100093","G9","Specialist - Supply Chain & Logistics","11160","QAR","2023-01-01"
"BLD-100093","G9","Specialist - Supply Chain & Logistics","12440","QAR","2024-01-01"
"BLD-100093","G9","Specialist - Supply Chain & Logistics","11870","QAR","2025-01-01"
"BLD-100094","G7","Team Lead - Procurement","8050","QAR","2023-01-01"
"BLD-100095","G1","Coordinator - Engineering & Maintenance","3060","QAR","2023-01-01"
"BLD-100095","G1","Coordinator - Engineering & Maintenance","2990","QAR","2024-01-01"
"BLD-100095","G1","Coordinator - Engineering & Maintenance","2930","QAR","2025-01-01"
"BLD-100096","G9","Senior Technician - Procurement","12240","QAR","2023-01-01"
"BLD-100096","G9","Senior Technician - Procurement","13590","QAR","2024-01-01"
"BLD-100096","G9","Senior Technician - Procurement","11110","QAR","2025-01-01"
"BLD-100097","G6","Supervisor - Marketing","5860","QAR","2023-01-01"
"BLD-100097","G6","Supervisor - Marketing","6260","QAR","2024-01-01"
"BLD-100097","G6","Supervisor - Marketing","6190","QAR","2025-01-01"
"BLD-100098","G4","Coordinator - Quality Assurance & Food Safety","4520","EGP","2023-01-01"
"BLD-100099","G2","Associate - Sales & Distribution","3710","EGP","2023-01-01"
"BLD-100099","G2","Associate - Sales & Distribution","3550","EGP","2024-01-01"
"BLD-100100","G10","Manager - Sales & Distribution","14260","EGP","2023-01-01"
"BLD-100100","G10","Manager - Sales & Distribution","16260","EGP","2024-01-01"
"BLD-100101","G9","Senior Technician - IT & Digital","10610","QAR","2023-01-01"
"BLD-100101","G9","Senior Technician - IT & Digital","12200","QAR","2024-01-01"
"BLD-100101","G9","Senior Technician - IT & Digital","11270","QAR","2025-01-01"
"BLD-100102","G1","Associate - Supply Chain & Logistics","3110","QAR","2023-01-01"
"BLD-100102","G1","Associate - Supply Chain & Logistics","3100","QAR","2024-01-01"
"BLD-100102","G1","Associate - Supply Chain & Logistics","3250","QAR","2025-01-01"
"BLD-100103","G2","Technician - Corporate & Executive Office","3720","QAR","2023-01-01"
"BLD-100103","G2","Technician - Corporate & Executive Office","3900","QAR","2024-01-01"
"BLD-100103","G2","Technician - Corporate & Executive Office","3930","QAR","2025-01-01"
"BLD-100104","G3","Officer - Farm Operations","3850","QAR","2023-01-01"
"BLD-100104","G3","Officer - Farm Operations","4030","QAR","2024-01-01"
"BLD-100104","G3","Officer - Farm Operations","4600","QAR","2025-01-01"
"BLD-100105","G8","Team Lead - People & Culture","9220","QAR","2023-01-01"
"BLD-100105","G8","Team Lead - People & Culture","10020","QAR","2024-01-01"
"BLD-100105","G8","Team Lead - People & Culture","9550","QAR","2025-01-01"
"BLD-100106","G3","Associate - Engineering & Maintenance","3490","QAR","2023-01-01"
"BLD-100106","G3","Associate - Engineering & Maintenance","3620","QAR","2024-01-01"
"BLD-100107","G8","Senior Officer - Marketing","9810","QAR","2023-01-01"
"BLD-100107","G8","Senior Officer - Marketing","10740","QAR","2024-01-01"
"BLD-100107","G8","Senior Officer - Marketing","9470","QAR","2025-01-01"
"BLD-100108","G5","Associate - IT & Digital","5540","QAR","2023-01-01"
"BLD-100108","G5","Associate - IT & Digital","5370","QAR","2024-01-01"
"BLD-100108","G5","Associate - IT & Digital","5540","QAR","2025-01-01"
"BLD-100109","G13","Chief Officer - Production","30380","EGP","2023-01-01"
"BLD-100109","G13","Chief Officer - Production","33870","EGP","2024-01-01"
"BLD-100109","G13","Chief Officer - Production","28830","EGP","2025-01-01"
"BLD-100110","G1","Associate - Procurement","3210","QAR","2023-01-01"
"BLD-100110","G1","Associate - Procurement","3200","QAR","2024-01-01"
"BLD-100111","G2","Technician - Finance","3230","QAR","2023-01-01"
"BLD-100111","G2","Technician - Finance","3220","QAR","2024-01-01"
"BLD-100111","G2","Technician - Finance","3890","QAR","2025-01-01"
"BLD-100112","G10","Manager - Marketing","14970","QAR","2023-01-01"
"BLD-100112","G10","Manager - Marketing","14770","QAR","2024-01-01"
"BLD-100112","G10","Manager - Marketing","15860","QAR","2025-01-01"
"BLD-100113","G1","Technician - Quality Assurance & Food Safety","3200","QAR","2023-01-01"
"BLD-100113","G1","Technician - Quality Assurance & Food Safety","3240","QAR","2024-01-01"
"BLD-100113","G1","Technician - Quality Assurance & Food Safety","3520","QAR","2025-01-01"
"BLD-100114","G1","Associate - Supply Chain & Logistics","2980","QAR","2023-01-01"
"BLD-100114","G1","Associate - Supply Chain & Logistics","3470","QAR","2024-01-01"
"BLD-100114","G1","Associate - Supply Chain & Logistics","3400","QAR","2025-01-01"
"BLD-100115","G6","Specialist - Engineering & Maintenance","6710","QAR","2023-01-01"
"BLD-100115","G6","Specialist - Engineering & Maintenance","6360","QAR","2024-01-01"
"BLD-100115","G6","Specialist - Engineering & Maintenance","6750","QAR","2025-01-01"
"BLD-100116","G5","Technician - Sales & Distribution","5580","EGP","2023-01-01"
"BLD-100117","G2","Operator - Finance","3620","QAR","2023-01-01"
"BLD-100118","G8","Team Lead - Quality Assurance & Food Safety","9010","QAR","2023-01-01"
"BLD-100118","G8","Team Lead - Quality Assurance & Food Safety","9910","QAR","2024-01-01"
"BLD-100118","G8","Team Lead - Quality Assurance & Food Safety","9840","QAR","2025-01-01"
"BLD-100119","G10","Senior Manager - IT & Digital","15100","QAR","2023-01-01"
"BLD-100119","G10","Senior Manager - IT & Digital","16150","QAR","2024-01-01"
"BLD-100119","G10","Senior Manager - IT & Digital","15940","QAR","2025-01-01"
"BLD-100120","G5","Technician - Procurement","4860","QAR","2023-01-01"
"BLD-100121","G7","Supervisor - Corporate & Executive Office","7350","QAR","2023-01-01"
"BLD-100121","G7","Supervisor - Corporate & Executive Office","7490","QAR","2024-01-01"
"BLD-100121","G7","Supervisor - Corporate & Executive Office","8690","QAR","2025-01-01"
"BLD-100122","G2","Operator - Sales & Distribution","3200","QAR","2023-01-01"
"BLD-100122","G2","Operator - Sales & Distribution","3580","QAR","2024-01-01"
"BLD-100122","G2","Operator - Sales & Distribution","3490","QAR","2025-01-01"
"BLD-100123","G7","Senior Technician - Procurement","6870","QAR","2023-01-01"
"BLD-100123","G7","Senior Technician - Procurement","8020","QAR","2024-01-01"
"BLD-100123","G7","Senior Technician - Procurement","8360","QAR","2025-01-01"
"BLD-100124","G9","Specialist - Farm Operations","10740","QAR","2023-01-01"
"BLD-100125","G6","Senior Technician - Sales & Distribution","5510","EGP","2023-01-01"
"BLD-100125","G6","Senior Technician - Sales & Distribution","7240","EGP","2024-01-01"
"BLD-100125","G6","Senior Technician - Sales & Distribution","7090","EGP","2025-01-01"
"BLD-100126","G2","Coordinator - Sales & Distribution","3460","EGP","2023-01-01"
"BLD-100126","G2","Coordinator - Sales & Distribution","3900","EGP","2024-01-01"
"BLD-100126","G2","Coordinator - Sales & Distribution","3390","EGP","2025-01-01"
"BLD-100127","G7","Supervisor - Production","7110","QAR","2023-01-01"
"BLD-100127","G7","Supervisor - Production","7060","QAR","2024-01-01"
"BLD-100127","G7","Supervisor - Production","7590","QAR","2025-01-01"
"BLD-100128","G4","Coordinator - Finance","4940","EGP","2023-01-01"
"BLD-100128","G4","Coordinator - Finance","4720","EGP","2024-01-01"
"BLD-100128","G4","Coordinator - Finance","4550","EGP","2025-01-01"
"BLD-100129","G1","Associate - People & Culture","2850","QAR","2023-01-01"
"BLD-100129","G1","Associate - People & Culture","3470","QAR","2024-01-01"
"BLD-100129","G1","Associate - People & Culture","3510","QAR","2025-01-01"
"BLD-100130","G8","Senior Technician - Production","8680","EGP","2023-01-01"
"BLD-100130","G8","Senior Technician - Production","9740","EGP","2024-01-01"
"BLD-100130","G8","Senior Technician - Production","10710","EGP","2025-01-01"
"BLD-100131","G4","Coordinator - Sales & Distribution","4510","EGP","2023-01-01"
"BLD-100131","G4","Coordinator - Sales & Distribution","4430","EGP","2024-01-01"
"BLD-100131","G4","Coordinator - Sales & Distribution","4850","EGP","2025-01-01"
"BLD-100132","G2","Officer - Corporate & Executive Office","3720","QAR","2023-01-01"
"BLD-100133","G7","Specialist - Marketing","6880","QAR","2023-01-01"
"BLD-100133","G7","Specialist - Marketing","8790","QAR","2024-01-01"
"BLD-100133","G7","Specialist - Marketing","8200","QAR","2025-01-01"
"BLD-100134","G7","Supervisor - IT & Digital","7770","QAR","2023-01-01"
"BLD-100134","G7","Supervisor - IT & Digital","7460","QAR","2024-01-01"
"BLD-100134","G7","Supervisor - IT & Digital","8900","QAR","2025-01-01"
"BLD-100135","G2","Assistant - IT & Digital","3510","QAR","2023-01-01"
"BLD-100136","G8","Senior Technician - Corporate & Executive Office","10170","QAR","2023-01-01"
"BLD-100136","G8","Senior Technician - Corporate & Executive Office","9060","QAR","2024-01-01"
"BLD-100137","G10","Assistant Manager - Production","16120","QAR","2023-01-01"
"BLD-100137","G10","Assistant Manager - Production","14040","QAR","2024-01-01"
"BLD-100137","G10","Assistant Manager - Production","15770","QAR","2025-01-01"
"BLD-100138","G4","Operator - Sales & Distribution","4270","EGP","2023-01-01"
"BLD-100138","G4","Operator - Sales & Distribution","4280","EGP","2024-01-01"
"BLD-100138","G4","Operator - Sales & Distribution","5500","EGP","2025-01-01"
"BLD-100139","G9","Senior Officer - Supply Chain & Logistics","12880","EGP","2023-01-01"
"BLD-100139","G9","Senior Officer - Supply Chain & Logistics","13220","EGP","2024-01-01"
"BLD-100140","G10","Manager - Marketing","13630","QAR","2023-01-01"
"BLD-100140","G10","Manager - Marketing","13870","QAR","2024-01-01"
"BLD-100140","G10","Manager - Marketing","13790","QAR","2025-01-01"
"BLD-100141","G11","Manager - Procurement","15830","QAR","2023-01-01"
"BLD-100141","G11","Manager - Procurement","17590","QAR","2024-01-01"
"BLD-100141","G11","Manager - Procurement","18970","QAR","2025-01-01"
"BLD-100142","G11","Assistant Manager - Farm Operations","19870","QAR","2023-01-01"
"BLD-100142","G11","Assistant Manager - Farm Operations","18160","QAR","2024-01-01"
"BLD-100142","G11","Assistant Manager - Farm Operations","22040","QAR","2025-01-01"
"BLD-100143","G3","Technician - Quality Assurance & Food Safety","3880","QAR","2023-01-01"
"BLD-100143","G3","Technician - Quality Assurance & Food Safety","3910","QAR","2024-01-01"
"BLD-100143","G3","Technician - Quality Assurance & Food Safety","4420","QAR","2025-01-01"
"BLD-100144","G5","Assistant - Sales & Distribution","4660","QAR","2023-01-01"
"BLD-100144","G5","Assistant - Sales & Distribution","5620","QAR","2024-01-01"
