"Period","GLCode","GLName","FSCategory","CostCenter","Amount"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-107","14686.53"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-107","13790.09"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-107","15248.06"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COF-109","3538.58"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COF-109","3559.69"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COF-109","4031.88"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COF-109","4484.81"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COF-109","4421.67"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COF-109","4048.66"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COF-109","4248.86"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COF-109","4260.24"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COF-109","4178.48"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COF-109","4218.02"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COF-109","4162.97"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COF-109","4288.68"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-101","80598.05"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-101","92754.6"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-101","91573.19"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-101","88156.86"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-101","82920.69"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-101","81138"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-101","87711.66"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-101","87660.23"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-101","87163.14"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-101","79945.63"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-101","80228.92"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-101","86894.53"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-102","58778.27"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-102","62504.9"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-102","64066.63"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-102","63075.74"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-102","64389.87"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-102","63028.77"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-102","62335.73"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-102","61361.74"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-102","61124.48"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-102","61508.66"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-102","60080.77"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-102","59041.75"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-104","54123.66"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-104","57400.54"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-104","61431.34"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-104","60135.02"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-104","59097.68"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-104","59523.54"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-104","57530.52"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-104","56962.71"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-104","54572.23"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-104","57965.61"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-104","58159.33"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-104","57157.54"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-105","90935.08"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-105","99985.94"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-105","97293.76"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-105","110575.94"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-105","109486.76"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-105","112080.49"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-105","111990.66"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-105","108869.21"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-105","106578.64"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-105","112339.96"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-105","110721.67"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-105","107310.14"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-106","28413.51"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-106","29530.92"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-106","30869.68"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-106","32966.59"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-106","30158.92"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-106","32612.95"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-106","30440.01"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-106","31690.71"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-106","31845.47"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-106","29380.1"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-106","31212.14"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-106","32367.12"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-107","160878.65"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-107","155183.85"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-107","167210.94"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-107","178249.38"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-107","177727.84"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-107","175686.56"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-107","159985.68"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-107","176571.11"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-107","177795.88"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-107","158485.1"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-107","166407.72"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-107","171917.69"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-108","176077.04"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-108","173763.06"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-108","173335.26"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-108","217646.71"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-108","225581.16"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-108","212298.73"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-108","220272.6"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-108","212430.89"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-108","229281.74"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-108","201738.13"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-108","219859.61"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-108","211989.1"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-109","71272.32"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-109","74503.2"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-109","70171.05"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-109","71614.65"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-109","72396.7"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-109","74323.03"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-109","75517.93"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-109","71491.47"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-109","76227.63"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-109","74628.11"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-109","74755.17"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-109","66524.34"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-118","61638.07"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-118","61129.09"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-118","59068.54"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-118","63329.42"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-118","61824.57"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-118","58597.8"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-118","65604.73"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-118","65517.92"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-118","61183.54"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-118","59687.42"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-118","59923.15"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-118","60551.76"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-119","72928.22"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-119","74969.34"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-119","70646.39"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-119","72778.95"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-119","71376.63"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-119","74553.07"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-119","74672.66"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-119","75711.54"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-119","72976.06"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-119","76605.18"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-119","72102.85"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-119","73516.21"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-123","82054.27"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-123","79310.08"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-123","79319.07"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-123","85442.89"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-123","90647.91"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-123","82886.09"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-123","91514.23"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-123","86841.38"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-123","85213.76"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-123","90191.52"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-123","84865.58"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-123","84763.32"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-128","29108.21"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-128","29157.63"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-128","29143.38"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-128","28057.31"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-128","27837.19"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-128","28153.07"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-128","28614.09"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-128","28460.42"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-128","27302.19"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-128","28635.19"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-128","27974.99"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-128","28748.92"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-129","138017.87"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-129","135856.7"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-129","140789.55"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-129","152325.17"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-129","138608.04"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-129","148745.78"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-129","151446.11"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-129","158470.09"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-129","152337.32"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-129","138477.43"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-129","146227.81"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-129","150213.3"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-131","50043.79"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-131","53403.81"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-131","49470.38"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-131","51517.85"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-131","49871.07"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-131","49622.24"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-131","50960.96"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-131","48318.35"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-131","48278.54"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-131","46121.54"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-131","45311.97"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-131","45967.33"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-132","53483.23"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-132","49140.61"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-132","52536.99"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-132","49021.79"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-132","48062.97"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-132","48989.99"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-132","47667.85"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-132","51158.09"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-132","48463.16"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-132","50775.24"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-132","48637.18"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-132","48765.56"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-133","109149.35"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-133","104055.22"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-133","105084.81"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-133","110747.75"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-133","105360.74"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-133","109744.25"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-133","98232.32"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-133","109024.1"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-133","98482.81"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-133","107564"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-133","101978.77"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-133","105895.55"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-136","44778.27"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-136","46881.22"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-136","47613.47"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-136","52590.36"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-136","51274.94"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-136","54700.95"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-136","54402.35"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-136","54376.16"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-136","53265.58"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-136","51099"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-136","53308.27"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-136","52333.75"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-138","154452.06"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-138","148966.98"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-138","148288.72"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-138","151659.92"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-138","151154.24"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-138","163423"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-138","150424.32"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-138","146075.9"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-138","148125.87"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-138","147587.61"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-138","146134.59"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-138","156714.4"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-141","10325.33"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-141","11328.74"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-141","11119.04"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-141","14880.52"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-141","13467.7"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-141","13322.36"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-141","13533.38"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-141","14459.92"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-141","14601.07"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-141","13488.72"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-141","12840.3"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-141","13152.25"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-146","21628.49"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-146","21602.86"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-146","23369.92"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-146","23241.62"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-146","23072.87"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-146","21652.6"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-146","21420.27"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-146","22849.31"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-146","21014.79"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-146","20486.45"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-146","21496.99"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-146","21541.85"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-147","32548.1"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-147","34479.72"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-147","33203.76"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-147","40249.58"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-147","35936.87"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-147","40169.2"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-147","35713.12"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-147","38970.8"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-147","36630.88"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-147","37414.06"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-147","37517.57"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-147","37602.59"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-149","113375.64"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-149","114761.32"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-149","116757.87"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-149","121874.51"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-149","113945.69"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-149","126543.55"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-149","115424.26"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-149","117359.62"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-149","117768.33"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-149","119529.29"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-149","112053.58"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-149","114045.54"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-150","63454.81"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-150","65040.81"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-150","60157.82"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-150","62757.35"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-150","61305.15"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-150","65083.22"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-150","60684.78"
"2026-08-01","60000010","Staff Salaries","Employee Cost","COM-150","61243.12"
"2026-09-01","60000010","Staff Salaries","Employee Cost","COM-150","60982.56"
"2026-10-01","60000010","Staff Salaries","Employee Cost","COM-150","57072.68"
"2026-11-01","60000010","Staff Salaries","Employee Cost","COM-150","60900.51"
"2026-12-01","60000010","Staff Salaries","Employee Cost","COM-150","59812.03"
"2026-01-01","60000010","Staff Salaries","Employee Cost","COM-160","76361.7"
"2026-02-01","60000010","Staff Salaries","Employee Cost","COM-160","75826.94"
"2026-03-01","60000010","Staff Salaries","Employee Cost","COM-160","71414.54"
"2026-04-01","60000010","Staff Salaries","Employee Cost","COM-160","73637.06"
"2026-05-01","60000010","Staff Salaries","Employee Cost","COM-160","73643.81"
"2026-06-01","60000010","Staff Salaries","Employee Cost","COM-160","72237.76"
"2026-07-01","60000010","Staff Salaries","Employee Cost","COM-160","73469.87"
