"Period","GLCode","GLName","FSCategory","CostCenter","Amount"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-103","12217.56"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-123","6595.08"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-128","3920.8"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-129","4034.58"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-141","2404.84"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-146","411.31"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-149","7692.51"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-150","2761.75"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-151","42458.17"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-152","3003.11"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-104","9921.79"
"2024-04-01","60000050","Staff Transportation Allowance Exp.","Employee Cost","COM-147","6692.35"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-100","7846.09"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-101","7795.46"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-102","3242.78"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-104","5416.03"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-105","1192.68"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-107","1571.49"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COF-109","313.07"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COP-101","577.91"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","DAF-101","10519.95"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","PLF-101","2365.26"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-102","8734.29"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-118","3573.51"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-119","3354.95"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-138","8538.66"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","GENF-100","3809.03"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","GENF-101","7442.61"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","GENF-120","6262.89"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","GENF-130","1271.42"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","GENF-140","6265.61"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","GENF-170","1831.05"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-101","10172.92"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-105","10269.4"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-106","4147.35"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-107","8814.12"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-108","16651.89"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-109","11925.63"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-131","1707.3"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-136","963.67"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-155","4903.77"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-103","6389.05"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-123","4668.34"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-128","4717.74"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-129","10752.06"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-141","868.18"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-146","1264.98"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-149","6438.91"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-150","4364.65"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-151","13965.28"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-152","1048.11"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-153","6218.99"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-154","11461.12"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-104","4059.84"
"2024-04-01","60000060","Staff Leave Salary","Employee Cost","COM-147","3612.03"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-100","7036.5"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-101","4481.65"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-102","873.14"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-104","3217.08"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-105","537.36"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-107","1016.41"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COF-109","158.53"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COP-101","316.2"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","DAF-101","4583.55"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","PLF-101","995.03"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-102","4802.81"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-118","2159.1"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-119","2233.93"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-138","9819.28"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","GENF-100","2535.02"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","GENF-101","2882.98"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","GENF-120","3602.14"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","GENF-130","524.05"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","GENF-140","4697.9"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","GENF-170","1108.32"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-101","3717.14"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-105","6260.99"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-106","2081.05"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-107","4275.78"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-108","6733.91"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-109","8276.92"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-131","1102.8"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-136","508.1"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-155","2116.83"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-103","6665.11"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-123","2232.54"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-128","2593.88"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-129","9743.91"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-141","630.05"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-146","1024.98"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-149","3385.8"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-150","1843.7"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-151","19506.94"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-152","1087.1"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-153","7209.51"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-154","11860.43"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-104","1278.12"
"2024-04-01","60000070","Staff Airfare Ticket","Employee Cost","COM-147","3138.18"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COF-100","3.77"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COF-101","286.84"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COF-102","2.14"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COF-104","4.01"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COF-107","8.08"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COF-109","1.9"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","DAF-101","646.44"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","PLF-101","81.76"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-118","28.83"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-119","7.32"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-138","9.9"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","GENF-100","9.07"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","GENF-101","15.85"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","GENF-120","59"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","GENF-130","58.17"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","GENF-140","125.42"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","GENF-170","207"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-101","3.26"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-105","2.19"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-128","15.74"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-129","200.19"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-146","8.46"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-149","19.11"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-150","19"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-151","240.03"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-152","16.85"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-153","185.6"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-154","283.94"
"2024-04-01","60000080","Medical Inspection & PP Photo","Employee Cost","COM-147","1.21"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-100","437.69"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-101","17529.05"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-102","555.95"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-104","5864.21"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-105","5118.33"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-107","6287.5"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COF-109","1001.14"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COP-101","825.53"
"2024-04-01","60000100","Residence Renewals","Employee Cost","DAF-101","34486.28"
"2024-04-01","60000100","Residence Renewals","Employee Cost","PLF-101","4766.26"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-102","1685.44"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-118","3266.98"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-119","5747.73"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-138","578.57"
"2024-04-01","60000100","Residence Renewals","Employee Cost","GENF-100","658.13"
"2024-04-01","60000100","Residence Renewals","Employee Cost","GENF-101","1009.41"
"2024-04-01","60000100","Residence Renewals","Employee Cost","GENF-120","3708.23"
"2024-04-01","60000100","Residence Renewals","Employee Cost","GENF-130","3175.03"
"2024-04-01","60000100","Residence Renewals","Employee Cost","GENF-140","6885.14"
"2024-04-01","60000100","Residence Renewals","Employee Cost","GENF-170","13460.46"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-101","1179.46"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-105","1796.66"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-106","917.6"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-107","1235.79"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-108","1791.69"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-109","389.42"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-131","139.77"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-136","87.71"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-155","164.29"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-103","231.97"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-123","1186.66"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-128","947.44"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-129","11520.33"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-141","128.39"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-146","470.62"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-149","1394.28"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-150","1252.62"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-151","13023.59"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-152","964.95"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-153","10635.39"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-154","18714.79"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-104","507.85"
"2024-04-01","60000100","Residence Renewals","Employee Cost","COM-147","333.33"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-100","4334.01"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-101","5330.21"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-102","1888.99"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-104","2977.17"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-105","507.64"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-107","1165.51"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COF-109","103.46"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COP-101","89.01"
"2024-04-01","60000130","Medical Insurance","Employee Cost","DAF-101","6664.21"
"2024-04-01","60000130","Medical Insurance","Employee Cost","PLF-101","1156.46"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-102","4375.57"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-118","2073.78"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-119","1267.35"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-138","5962.29"
"2024-04-01","60000130","Medical Insurance","Employee Cost","GENF-100","3448.47"
"2024-04-01","60000130","Medical Insurance","Employee Cost","GENF-101","3520.28"
"2024-04-01","60000130","Medical Insurance","Employee Cost","GENF-120","2949.95"
"2024-04-01","60000130","Medical Insurance","Employee Cost","GENF-130","972.48"
"2024-04-01","60000130","Medical Insurance","Employee Cost","GENF-140","2928.85"
"2024-04-01","60000130","Medical Insurance","Employee Cost","GENF-170","2149.51"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-101","2924.68"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-105","4701.08"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-106","1107.16"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-107","6055.04"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-108","10357.86"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-109","3363.96"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-131","978.88"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-136","595.51"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-155","1611.78"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-103","2914.74"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-123","1485.53"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-128","2553.1"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-129","2726.48"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-141","912.53"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-146","59.86"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-149","3089.98"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-150","1147.09"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-151","1341.64"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-152","97.96"
"2024-04-01","60000130","Medical Insurance","Employee Cost","COM-153","956.51"
