"EmployeeID","PIPStartDate","Reason","Month3Status","Month6Status"
"BLD-100242","2025-01-08","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100258","2025-01-10","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100271","2024-01-05","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100293","2024-01-08","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100304","2024-12-31","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100313","2024-01-12","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100314","2025-01-09","Below Expectations Performance Review (2024-12)","Not Improved","Terminated"
"BLD-100319","2024-01-06","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100337","2025-01-11","Below Expectations Performance Review (2024-12)","Not Improved","Terminated"
"BLD-100347","2025-01-12","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100353","2024-01-04","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100362","2026-01-05","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100371","2024-01-06","Below Expectations Performance Review (2023-12)","Not Improved","Terminated"
"BLD-100404","2026-01-18","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100422","2026-01-14","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100425","2024-01-17","Below Expectations Performance Review (2023-12)","Terminated","Terminated"
"BLD-100426","2025-01-06","Below Expectations Performance Review (2024-12)","Terminated","Terminated"
"BLD-100429","2025-12-31","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100435","2023-12-31","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100452","2024-01-09","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100479","2024-01-11","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100485","2026-01-03","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100490","2025-01-07","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100505","2025-01-07","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100516","2024-01-11","Below Expectations Performance Review (2023-12)","Not Improved","Terminated"
"BLD-100529","2024-01-11","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100554","2024-01-04","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100556","2026-01-16","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100562","2025-01-08","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100598","2025-01-12","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100608","2026-01-04","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100612","2024-01-08","Below Expectations Performance Review (2023-12)","Terminated","Terminated"
"BLD-100613","2024-01-08","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100626","2024-01-07","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100637","2024-01-01","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100661","2025-12-31","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100666","2024-01-17","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100677","2026-01-10","Below Expectations Performance Review (2025-12)","Terminated","Terminated"
"BLD-100703","2024-01-10","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100712","2024-01-12","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100717","2026-01-10","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100719","2026-01-16","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100766","2024-01-09","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100777","2026-01-17","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100797","2026-01-16","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100806","2025-01-06","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100810","2026-01-12","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100815","2025-01-04","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100817","2025-01-05","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100842","2025-01-01","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100852","2025-01-03","Below Expectations Performance Review (2024-12)","Not Improved","Terminated"
"BLD-100854","2024-01-16","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100862","2025-01-12","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100868","2025-01-09","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100873","2025-01-10","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100893","2024-01-09","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100904","2024-01-02","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100906","2024-01-15","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100911","2024-01-01","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100915","2026-01-13","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100920","2025-01-17","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100926","2024-01-15","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100927","2026-01-10","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100933","2025-01-04","Below Expectations Performance Review (2024-12)","Terminated","Terminated"
"BLD-100934","2025-01-18","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100937","2026-01-12","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100948","2026-01-17","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100951","2023-12-31","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100957","2024-01-02","Below Expectations Performance Review (2023-12)","Terminated","Terminated"
"BLD-100966","2024-12-31","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100973","2025-01-11","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-100976","2026-01-10","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-100983","2024-01-14","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-100989","2024-01-17","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-101010","2024-01-13","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-101018","2024-01-17","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-101021","2024-01-07","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-101045","2026-01-04","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101092","2025-01-11","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101098","2025-01-01","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101108","2026-01-16","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101165","2026-01-13","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101168","2025-01-15","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101218","2025-01-09","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101232","2026-01-12","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101260","2025-01-04","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101273","2026-01-17","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101299","2026-01-12","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101313","2024-01-06","Below Expectations Performance Review (2023-12)","Improved","Completed Successfully"
"BLD-101318","2025-01-16","Below Expectations Performance Review (2024-12)","Terminated","Terminated"
"BLD-101320","2025-01-16","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101348","2025-01-12","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101360","2025-01-04","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101371","2026-01-01","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101396","2026-01-16","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101411","2026-01-04","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101453","2024-01-01","Below Expectations Performance Review (2023-12)","Terminated","Terminated"
"BLD-101464","2025-01-05","Below Expectations Performance Review (2024-12)","Improved","Completed Successfully"
"BLD-101487","2026-01-06","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
"BLD-101506","2026-01-08","Below Expectations Performance Review (2025-12)","Improved","Completed Successfully"
